Time(s),HeartRate(1/min),CardiacOutput(mL/min),MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),TotalMetabolicRate(kcal/day),CoreTemperature(degC),SkinTemperature(degC),RespirationRate(1/min),AchievedExerciseLevel,FatigueLevel,TotalMetabolicRate(W),TotalWorkRateLevel
37.02,130.434783,7232.963730,99.594792,114.666340,83.768660,6900.546379,37.069785,33.145782,17.142857,0.788864,0.046442,334.165348,0.197216
38.02,136.363636,7512.586331,99.742044,114.263250,84.756397,6900.546379,37.070859,33.146802,17.142857,0.790375,0.045344,334.165348,0.197594
39.02,136.363636,7383.572181,100.506398,114.937473,85.215449,6900.546379,37.071927,33.147844,17.543860,0.786772,0.044235,334.165348,0.196693
40.02,136.363636,7336.792611,100.379636,114.698539,85.006693,6900.546379,37.072995,33.148889,17.543860,0.780763,0.047141,334.165348,0.195191
41.02,142.857143,7500.247285,101.240538,115.255043,86.453106,6900.546379,37.074063,33.149938,17.543860,0.781060,0.048640,334.165348,0.195265
42.02,142.857143,7373.221818,100.902555,115.203141,85.985826,6900.546379,37.075126,33.151004,18.072289,0.789003,0.046129,334.165348,0.197251
43.02,150.000000,7628.615775,100.805800,114.764068,86.725381,6900.546379,37.076188,33.152059,18.072289,0.784305,0.044748,334.165348,0.196076
44.02,150.000000,7494.094015,101.488847,115.312607,87.094190,6900.546379,37.077249,33.153134,18.072289,0.781093,0.048874,334.165348,0.195273
45.02,150.000000,7459.333317,101.273453,114.950418,86.844642,6900.546379,37.078307,33.154211,18.518519,0.789284,0.045458,334.165348,0.197321
46.02,157.894737,7621.636874,102.487297,115.292488,88.663990,6900.546379,37.079360,33.155307,18.518519,0.779433,0.048387,334.165348,0.194858
47.02,157.894737,7527.532417,101.980755,114.984918,88.119260,6900.546379,37.080413,33.156413,18.518519,0.788834,0.044861,334.165348,0.197209
48.02,157.894737,7430.038218,100.985218,114.247203,87.156167,6900.546379,37.081466,33.157502,18.867925,0.778578,0.050038,334.165348,0.194644
49.02,166.666667,7783.666846,101.132405,113.899782,88.224901,6900.546379,37.082516,33.158576,18.867925,0.785720,0.045763,334.165348,0.196430
50.02,166.666667,7539.878850,101.426818,114.575090,88.194028,6900.546379,37.083565,33.159667,18.867925,0.786072,0.048388,334.165348,0.196518
51.02,176.470588,7972.947179,101.992698,114.327214,89.709820,6900.546379,37.084614,33.160755,19.354839,0.774427,0.049717,334.165348,0.193607
52.02,166.666667,7519.465753,101.141898,114.147993,88.016467,6900.546379,37.085657,33.161849,19.354839,0.786677,0.046704,334.165348,0.196669
53.02,166.666667,7506.948664,100.993207,113.890188,87.967325,6900.546379,37.086700,33.162933,19.354839,0.780403,0.050619,334.165348,0.195101
54.02,176.470588,7789.960414,102.320795,114.460290,89.791529,6900.546379,37.087744,33.164013,19.736842,0.775210,0.049094,334.165348,0.193803
55.02,176.470588,7683.771452,102.446155,114.527395,89.833203,6900.546379,37.088778,33.165135,19.736842,0.784550,0.045953,334.165348,0.196137
56.02,176.470588,7602.664016,101.867226,113.807940,89.306730,6900.546379,37.089813,33.166253,19.736842,0.787345,0.047112,334.165348,0.196836
57.02,176.470588,7541.795338,101.206418,113.032283,88.745647,6900.546379,37.090848,33.167357,20.134228,0.784514,0.049708,334.165348,0.196129
58.02,176.470588,7497.820728,100.688904,112.427482,88.312318,6900.546379,37.091880,33.168447,20.134228,0.776216,0.051710,334.165348,0.194054
59.02,176.470588,7475.071643,100.428178,112.108377,88.086121,6900.546379,37.092912,33.169525,20.134228,0.779126,0.049230,334.165348,0.194782
60.02,176.470588,7453.994811,100.151165,111.781868,87.858136,6900.546379,37.093945,33.170594,20.408163,0.783227,0.048562,334.165348,0.195807
61.02,176.470588,7441.205368,100.000696,111.605742,87.740172,6900.546379,37.094973,33.171656,20.408163,0.783844,0.050423,334.165348,0.195961
62.02,176.470588,7431.595700,99.912042,111.478148,87.697946,6900.546379,37.096001,33.172722,20.408163,0.776428,0.052985,334.165348,0.194107
63.02,176.470588,7429.406391,99.876717,111.439478,87.652198,6900.546379,37.097029,33.173777,20.689655,0.771043,0.052780,334.165348,0.192761
64.02,176.470588,7427.851282,99.881304,111.439296,87.658103,6900.546379,37.098053,33.174830,20.689655,0.779969,0.049429,334.165348,0.194992
