HeartRate(1/min),CardiacOutput(mL/min),MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),TotalMetabolicRate(kcal/day),CoreTemperature(degC),SkinTemperature(degC),RespirationRate(1/min),AchievedExerciseLevel,FatigueLevel,TotalMetabolicRate(W),intensity,atemp_c,rh_pct,time_delta,HeartRate(1/min)_next,CardiacOutput(mL/min)_next,MeanArterialPressure(mmHg)_next,SystolicArterialPressure(mmHg)_next,DiastolicArterialPressure(mmHg)_next,TotalMetabolicRate(kcal/day)_next,CoreTemperature(degC)_next,SkinTemperature(degC)_next,RespirationRate(1/min)_next,AchievedExerciseLevel_next,FatigueLevel_next,TotalMetabolicRate(W)_next,time_delta_next
126.94580446666669,7134.873655883333,95.61395945,110.9413093,79.18863938333334,6852.245369266667,37.06254991666666,33.13674253333333,17.233677316666668,0.7853847333333334,0.0388308833333333,0.0,0.25,20.0,40.0,0,166.56131765,7370.626585166667,100.15042776666664,112.70846118333334,87.29740103333333,6900.546379,37.12423783333334,33.18958536666666,21.69738795,0.77642035,0.0536946166666666,0.0,1.0
166.56131765,7370.626585166667,100.15042776666664,112.70846118333334,87.29740103333333,6900.546379,37.12423783333334,33.18958536666666,21.69738795,0.77642035,0.0536946166666666,0.0,0.25,20.0,40.0,1,166.70106669999998,7401.7387897,100.8031016,113.538072,87.89905401666667,6900.546379,37.183274950000005,33.21749258333333,21.948797766666665,0.7741724833333333,0.0556427166666666,0.0,2.0
166.70106669999998,7401.7387897,100.8031016,113.538072,87.89905401666667,6900.546379,37.183274950000005,33.21749258333333,21.948797766666665,0.7741724833333333,0.0556427166666666,0.0,0.25,20.0,40.0,2,172.7124182833333,7356.370742316666,101.02827113333332,113.04185403333334,88.62484724999999,6900.546379,37.242257333333335,33.21500451666667,21.81847,0.7711807166666667,0.0581925,0.0,3.0
172.7124182833333,7356.370742316666,101.02827113333332,113.04185403333334,88.62484724999999,6900.546379,37.242257333333335,33.21500451666667,21.81847,0.7711807166666667,0.0581925,0.0,0.25,20.0,40.0,3,176.470588,7374.407093216667,101.65703146666668,113.0947634,89.45670664999999,6900.546379,37.30123781666667,33.18230495,21.73913,0.7688138333333333,0.0603544,0.0,4.0
176.470588,7374.407093216667,101.65703146666668,113.0947634,89.45670664999999,6900.546379,37.30123781666667,33.18230495,21.73913,0.7688138333333333,0.0603544,0.0,0.25,20.0,40.0,4,176.71568608333334,7353.839291633334,101.88087983333334,113.18086903333332,89.77921165,6900.546379,37.35987871666667,33.12126168333334,21.73913,0.7669878166666667,0.0618731166666666,0.0,5.0
176.71568608333334,7353.839291633334,101.88087983333334,113.18086903333332,89.77921165,6900.546379,37.35987871666667,33.12126168333334,21.73913,0.7669878166666667,0.0618731166666666,0.0,0.25,20.0,40.0,5,176.470588,7305.3424575,102.03519743333332,113.34964848333334,89.88065773333332,6900.546379,37.41809786666667,33.03271888333333,21.73913,0.7657359499999999,0.0630516833333333,0.0,6.0
176.470588,7305.3424575,102.03519743333332,113.34964848333334,89.88065773333332,6900.546379,37.41809786666667,33.03271888333333,21.73913,0.7657359499999999,0.0630516833333333,0.0,0.25,20.0,40.0,6,177.0220586,7288.744647133333,102.17009876666664,113.40652813333332,90.10246238333336,6900.546379,37.47578935,32.91803193333333,21.73913,0.7647308833333334,0.0639833833333333,0.0,7.0
177.0220586,7288.744647133333,102.17009876666664,113.40652813333332,90.10246238333336,6900.546379,37.47578935,32.91803193333333,21.73913,0.7647308833333334,0.0639833833333333,0.0,0.25,20.0,40.0,7,176.470588,7224.26333055,102.15892705,113.32737733333332,90.14451215,6900.546379,37.53283288333333,32.7786659,21.836982666666664,0.7639856,0.0645258,0.0,8.0
176.470588,7224.26333055,102.15892705,113.32737733333332,90.14451215,6900.546379,37.53283288333333,32.7786659,21.836982666666664,0.7639856,0.0645258,0.0,0.25,20.0,40.0,8,176.470588,7186.167417333333,102.19655578333332,113.33893153333334,90.28140511666668,6900.546379,37.589136233333335,32.6160168,21.89781,0.7636939500000001,0.0648456833333333,0.0,9.0
126.94580446666669,7134.872058566666,95.61394886666668,110.94129195,79.1886345,6852.245369266667,37.06258113333333,33.13674271666667,17.233677316666668,0.7853847500000001,0.0388308333333333,0.0,0.25,20.0,44.44444444444444,0,166.56131765,7370.657814516667,100.15040333333332,112.70636696666666,87.29674213333332,6900.546379,37.12438285,33.18956108333334,21.69738795,0.7764198166666667,0.0536951166666666,0.0,1.0
166.56131765,7370.657814516667,100.15040333333332,112.70636696666666,87.29674213333332,6900.546379,37.12438285,33.18956108333334,21.69738795,0.7764198166666667,0.0536951166666666,0.0,0.25,20.0,44.44444444444444,1,166.70106669999998,7401.6679482,100.80297743333334,113.53702553333332,87.89940726666667,6900.546379,37.18358345,33.21735508333333,21.948797766666665,0.7741720666666667,0.0556429,0.0,2.0
166.70106669999998,7401.6679482,100.80297743333334,113.53702553333332,87.89940726666667,6900.546379,37.18358345,33.21735508333333,21.948797766666665,0.7741720666666667,0.0556429,0.0,0.25,20.0,44.44444444444444,2,172.7124182833333,7359.5107646,101.03093921666668,113.04572041666668,88.62869789999999,6900.546379,37.24272595,33.21467998333333,21.81847,0.7713050666666666,0.0581787333333333,0.0,3.0
