Time(s),HeartRate(1/min),CardiacOutput(mL/min),MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),TotalMetabolicRate(kcal/day),CoreTemperature(degC),SkinTemperature(degC),RespirationRate(1/min),AchievedExerciseLevel,FatigueLevel,TotalMetabolicRate(W),intensity,atemp_c,rh_pct
0 days 00:00:01.020000,141.28131298333335,7530.933835366667,94.0794365,108.85472035,78.30461215,8557.211243566668,37.07217471666667,33.14987763333333,17.75702706666667,0.77440355,0.051439250000000006,0.0,0.3333333333333333,25.555555555555557,48.888888888888886
0 days 00:01:01.020000,181.4338234,7773.3021693,101.04492728333334,112.84798936666667,89.0355479,8621.61259,37.15276651666667,33.22050115,22.39932285,0.7598244,0.07313728333333333,0.0,0.3333333333333333,25.555555555555557,48.888888888888886
0 days 00:02:01.020000,187.5,7742.737655033333,101.92801656666667,113.35305463333334,90.18502451666667,8621.61259,37.2311597,33.252484816666666,22.239090466666664,0.7291948833333334,0.10602605000000001,0.0,0.3333333333333333,25.555555555555557,48.888888888888886
0 days 00:03:01.020000,187.5,7660.8281375999995,102.64259508333333,113.99671385,90.8875688,8621.61259,37.30997023333334,33.24260028333334,22.058824,0.72047585,0.11289378333333334,0.0,0.3333333333333333,25.555555555555557,48.888888888888886
0 days 00:04:01.020000,187.5,7575.5374803,103.02179665,114.28506915,91.28438033333333,8621.61259,37.38872406666667,33.1922539,22.058824,0.7150130333333333,0.11906255,0.0,0.3333333333333333,25.555555555555557,48.888888888888886
0 days 00:05:01.020000,187.5,7507.5652789333335,103.24069308333333,114.42413926666667,91.56318438333332,8621.61259,37.46713728333334,33.10350065,22.058824,0.7137014833333333,0.1196959,0.0,0.3333333333333333,25.555555555555557,48.888888888888886
0 days 00:06:01.020000,187.5,7457.877489666667,103.37288826666666,114.4924712,91.77463776666667,8621.61259,37.544985983333326,32.9787167,22.058824,0.7109179333333333,0.1220056,0.0,0.3333333333333333,25.555555555555557,48.888888888888886
0 days 00:07:01.020000,187.5,7421.59384385,103.46312594999999,114.53601198333334,91.9227208,8621.61259,37.62209223333333,32.820208916666665,22.058824,0.7132269499999999,0.11986755,0.0,0.3333333333333333,25.555555555555557,48.888888888888886
0 days 00:08:01.020000,187.5,7394.895783816667,103.52453715,114.56300236666667,92.02667863333333,8621.61259,37.698273566666664,32.63019248333333,22.058824,0.7129939666666666,0.1195291,0.0,0.3333333333333333,25.555555555555557,48.888888888888886
0 days 00:09:01.020000,187.5,7374.648509916667,103.57106449999999,114.58342106666667,92.10546056666666,8621.61259,37.773370533333335,32.410803066666666,22.0887803,0.7172720333333333,0.11627944999999999,0.0,0.3333333333333333,25.555555555555557,48.888888888888886
