Time(s),HeartRate(1/min),CardiacOutput(mL/min),MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),TotalMetabolicRate(kcal/day),CoreTemperature(degC),SkinTemperature(degC),RespirationRate(1/min),AchievedExerciseLevel,FatigueLevel,TotalMetabolicRate(W),intensity,atemp_c,rh_pct
0 days 00:00:01.020000,127.41880066666666,7155.828769966667,95.64564375,110.93550061666666,79.24496649999999,6852.245369266667,37.0626434,33.136741916666665,17.233677316666668,0.78538405,0.03883168333333333,0.0,0.25,20.0,53.333333333333336
0 days 00:01:01.020000,166.04747175,7369.187355716667,100.13518123333333,112.72923133333333,87.2152442,6900.546379,37.12467156666666,33.18951213333334,21.70543865,0.7764010833333334,0.05373773333333333,0.0,0.25,20.0,53.333333333333336
0 days 00:02:01.020000,166.70106669999998,7417.8187146499995,100.81658081666666,113.55120661666666,87.91715886666665,6900.546379,37.1841903,33.2171255,21.948797766666665,0.7742509,0.05558503333333333,0.0,0.25,20.0,53.333333333333336
0 days 00:03:01.020000,172.87581696666666,7364.646405033333,101.00276425,112.9989178,88.62309355000001,6900.546379,37.2436551,33.214078549999996,21.818469999999998,0.7712241,0.05821306666666667,0.0,0.25,20.0,53.333333333333336
0 days 00:04:01.020000,176.470588,7374.630521833333,101.65728855,113.09448101666666,89.4559804,6900.546379,37.303101833333336,33.18060825,21.73913,0.7690423000000001,0.060183016666666665,0.0,0.25,20.0,53.333333333333336
0 days 00:05:01.020000,175.6740194333333,7310.608041266666,101.8131372,113.18130706666668,89.69558895,6900.546379,37.362201400000004,33.11859941666667,21.73913,0.7673689666666667,0.06176611666666667,0.0,0.25,20.0,53.333333333333336
0 days 00:06:01.020000,176.470588,7305.382463666667,102.03580916666667,113.35217850000001,89.88182725,6900.546379,37.42087396666667,33.02890248333333,21.73913,0.7658232500000001,0.06303005,0.0,0.25,20.0,53.333333333333336
0 days 00:07:01.020000,176.32761416666665,7260.100849983332,102.12507959999999,113.40803418333333,90.04644428333333,6900.546379,37.479014316666664,32.91288273333333,21.73913,0.7650039999999999,0.063798,0.0,0.25,20.0,53.333333333333336
0 days 00:08:01.020000,176.470588,7224.684468916666,102.16199555,113.33030413333333,90.14554741666667,6900.546379,37.5365049,32.772018683333336,21.829048666666665,0.7643631666666667,0.06442023333333333,0.0,0.25,20.0,53.333333333333336
0 days 00:09:01.020000,176.470588,7185.473542883334,102.19193010000001,113.33515734999999,90.27934308333333,6900.546379,37.59325111666667,32.607712033333335,21.89781,0.7637248999999999,0.06483,0.0,0.25,20.0,53.333333333333336
