Time(s),HeartRate(1/min),CardiacOutput(mL/min),MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),TotalMetabolicRate(kcal/day),CoreTemperature(degC),SkinTemperature(degC),RespirationRate(1/min),AchievedExerciseLevel,FatigueLevel,TotalMetabolicRate(W),intensity,atemp_c,rh_pct
0 days 00:00:01.020000,155.43108064999998,9554.962728016666,75.06322136666667,90.89196296666667,58.67629481666667,22196.938236383332,37.1494006,33.16967081666667,19.699837533333334,0.5870152999999999,0.26353945,0.0,1.0,22.22222222222222,80.0
0 days 00:01:01.020000,187.5,10054.234429766666,86.03308836666666,99.73007241666667,72.16828473333334,22390.142275,37.3850955,33.228024516666665,23.2800388,0.4963187666666667,0.37491028333333337,0.0,1.0,22.22222222222222,80.0
0 days 00:02:01.020000,187.5,10025.225099783333,89.20892741666667,102.95874693333333,75.38321506666666,22390.142275,37.618946183333335,33.17589876666667,23.1305903,0.46260898333333333,0.4138211166666667,0.0,1.0,22.22222222222222,80.0
0 days 00:03:01.020000,187.5,9929.048251733333,91.23905976666667,104.93300401666667,77.5536328,22390.142275,37.85165846666666,33.02078543333333,22.953611000000002,0.45979810000000004,0.41570528333333334,0.0,1.0,22.22222222222222,80.0
0 days 00:04:01.020000,187.5,9823.294341233333,92.51087226666667,106.11735193333334,78.98017611666667,22390.142275,38.08267681666667,32.76816255,22.900763,0.4592929,0.4173249333333333,0.0,1.0,22.22222222222222,80.0
0 days 00:05:01.020000,187.5,9741.7683558,93.25670863333333,106.78921650000001,79.84591520000001,22390.142275,38.3112137,32.4249937,22.900763,0.45972783333333334,0.4158329,0.0,1.0,22.22222222222222,80.0
0 days 00:06:01.020000,187.5,9682.505337516666,93.70840286666666,107.1845865,80.38506441666667,22390.142275,38.53670013333333,31.99865105,23.047563000000004,0.46065981666666667,0.41539563333333335,0.0,1.0,22.22222222222222,80.0
0 days 00:07:01.020000,187.5,9638.445820716668,94.0012121,107.43430711666666,80.74301546666668,22390.142275,38.758652999999995,31.496263933333335,23.076923,0.2538705666666667,0.6437205166666666,0.0,1.0,22.22222222222222,80.0
0 days 00:08:01.020000,187.5,9600.585578516668,94.25287496666667,107.64882271666667,81.05091775,22390.142275,38.97657883333333,30.924464383333333,23.286841433333333,-0.45940036666666667,1.4308230166666667,0.0,1.0,22.22222222222222,80.0
0 days 00:09:01.020000,187.5,9576.328743216667,94.32827241666668,107.69838538333333,81.16168731666667,22390.142275,39.1894063,30.289924566666667,23.622047,-0.4613402166666667,1.4333337166666666,0.0,1.0,22.22222222222222,80.0
