Time(s),HeartRate(1/min),CardiacOutput(mL/min),MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),TotalMetabolicRate(kcal/day),CoreTemperature(degC),SkinTemperature(degC),RespirationRate(1/min),AchievedExerciseLevel,FatigueLevel,TotalMetabolicRate(W),intensity,atemp_c,rh_pct
0 days 00:00:01.020000,154.3556758,9317.592817583332,76.99894666666667,92.7187236,60.75325213333333,20491.97236203333,37.13976961666666,33.17564075,19.562058349999997,0.6015633,0.24928693333333335,0.0,0.9166666666666666,27.77777777777778,80.0
0 days 00:01:01.020000,187.5,9802.15505385,88.20343625000001,101.67168705,74.69628273333333,20669.076064,37.356204033333334,33.25050783333333,23.2800388,0.5214749333333333,0.3475964833333334,0.0,0.9166666666666666,27.77777777777778,80.0
0 days 00:02:01.020000,187.5,9768.441717033333,91.43740048333332,104.95233065000001,77.98365453333334,20669.076064,37.57107378333333,33.221781416666666,23.062243000000002,0.47978923333333334,0.3908293,0.0,0.9166666666666666,27.77777777777778,80.0
0 days 00:03:01.020000,187.5,9670.704483849999,93.48155565,106.93741673333334,80.17612798333333,20669.076064,37.78514211666666,33.0962351,22.900763,0.47309591666666667,0.398999,0.0,0.9166666666666666,27.77777777777778,80.0
0 days 00:04:01.020000,187.5,9566.946814083332,94.71597191666666,108.0844733,81.56628998333333,20669.076064,37.997771449999995,32.8788707,22.900763,0.47263486666666665,0.3991198666666667,0.0,0.9166666666666666,27.77777777777778,80.0
0 days 00:05:01.020000,187.5,9487.817367183334,95.42575964999999,108.72136771666666,82.39486268333333,20669.076064,38.208279616666665,32.576133983333335,22.900763,0.47222795,0.3996026,0.0,0.9166666666666666,27.77777777777778,80.0
0 days 00:06:01.020000,187.5,9430.605610266668,95.8524931,109.09302003333333,82.9075549,20669.076064,38.416149866666665,32.19477116666666,22.900763,0.4741266,0.3975788833333333,0.0,0.9166666666666666,27.77777777777778,80.0
0 days 00:07:01.020000,187.5,9388.944562116667,96.11616703333334,109.31532503333332,83.23376463333334,20669.076064,38.62089511666667,31.74129525,23.059307,0.47501184999999996,0.39620805000000003,0.0,0.9166666666666666,27.77777777777778,80.0
0 days 00:08:01.020000,187.5,9356.325084633334,96.30744496666667,109.47374181666667,83.47411313333333,20669.076064,38.82220706666667,31.221913649999998,23.076923,0.09168693333333335,0.8167460166666667,0.0,0.9166666666666666,27.77777777777778,80.0
0 days 00:09:01.020000,187.5,9324.83491295,96.51097023333334,109.64595223333335,83.72523926666666,20669.076064,39.01963943333333,30.64224325,23.223017316666667,-0.434794,1.39393075,0.0,0.9166666666666666,27.77777777777778,80.0
