Time(s),HeartRate(1/min),CardiacOutput(mL/min),MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),TotalMetabolicRate(kcal/day),CoreTemperature(degC),SkinTemperature(degC),RespirationRate(1/min),AchievedExerciseLevel,FatigueLevel,TotalMetabolicRate(W),intensity,atemp_c,rh_pct
0 days 00:00:01.020000,155.43108064999998,9554.986636266667,75.06335805,90.89219291666667,58.67637,22196.938236383332,37.1494014,33.18115066666667,19.699837533333334,0.58701325,0.2635416666666667,0.0,1.0,30.0,71.11111111111111
0 days 00:01:01.020000,187.5,10054.233228183333,86.03308673333332,99.73006945,72.16828491666666,22390.142275,37.385130249999996,33.2616041,23.2800388,0.49631600000000003,0.37491803333333334,0.0,1.0,30.0,71.11111111111111
0 days 00:02:01.020000,187.5,10025.2255751,89.20891111666667,102.95873075,75.38319793333334,22390.142275,37.619121666666665,33.23097405,23.1305903,0.46260976666666664,0.41382084999999996,0.0,1.0,30.0,71.11111111111111
0 days 00:03:01.020000,187.5,9929.034627083334,91.23922575,104.9331585,77.55381906666666,22390.142275,37.85208933333333,33.096771366666665,22.953611000000002,0.45979956666666666,0.4157037,0.0,1.0,30.0,71.11111111111111
0 days 00:04:01.020000,187.5,9823.273453066668,92.51103353333333,106.11749348333333,78.98036798333332,22390.142275,38.08346946666666,32.86449828333333,22.900763,0.45929585,0.41732168333333336,0.0,1.0,30.0,71.11111111111111
0 days 00:05:01.020000,187.5,9741.744988966668,93.25684685,106.78933148333334,79.84608765,22390.142275,38.31246645,32.54111758333333,22.900763,0.45973183333333334,0.41582853333333336,0.0,1.0,30.0,71.11111111111111
0 days 00:06:01.020000,187.5,9682.479356933332,93.70850601666666,107.18466253333332,80.38520545,22390.142275,38.53850688333333,32.13398578333333,23.047563000000004,0.46066493333333336,0.41539001666666664,0.0,1.0,30.0,71.11111111111111
0 days 00:07:01.020000,187.5,9638.4158513,94.00127421666666,107.43433648333333,80.74312106666666,22390.142275,38.7611037,31.65021385,23.076923,0.2538771,0.6437132833333333,0.0,1.0,30.0,71.11111111111111
0 days 00:08:01.020000,187.5,9600.549609116666,94.2528964,107.64880336666667,81.05099121666667,22390.142275,38.9797589,31.09641913333333,23.286841433333333,-0.45939321666666666,1.4308185666666666,0.0,1.0,30.0,71.11111111111111
0 days 00:09:01.020000,187.5,9576.284337883333,94.32823268333333,107.69829385,81.16171081666667,22390.142275,39.1933904,30.47925893333333,23.622047,-0.46133538333333335,1.43332865,0.0,1.0,30.0,71.11111111111111
