Time(s),HeartRate(1/min),CardiacOutput(mL/min),MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),TotalMetabolicRate(kcal/day),CoreTemperature(degC),SkinTemperature(degC),RespirationRate(1/min),AchievedExerciseLevel,FatigueLevel,TotalMetabolicRate(W),intensity,atemp_c,rh_pct
0 days 00:00:01.020000,153.00971806666666,8883.760895983334,81.43860108333334,96.79792458333333,65.68406581666666,17082.040613983332,37.1203636,33.16740241666667,19.261835233333333,0.6379135333333333,0.20623645000000002,0.0,0.75,25.555555555555557,75.55555555555556
0 days 00:01:01.020000,187.5,9258.516611516667,92.8526301,105.81717248333332,80.14735916666667,17226.943643,37.29758818333333,33.23709718333333,23.142516366666666,0.5626396833333334,0.2952817833333333,0.0,0.75,25.555555555555557,75.55555555555556
0 days 00:02:01.020000,187.5,9217.757014300001,96.08307751666666,109.08218811666667,83.45581835,17226.943643,37.47343076666667,33.21917018333333,22.895514000000002,0.5369348833333334,0.3242014,0.0,0.75,25.555555555555557,75.55555555555556
0 days 00:03:01.020000,187.5,9119.6162699,98.01529925,110.94927179999999,85.54674105000001,17226.943643,37.648913650000004,33.11884151666666,22.727273,0.5148085666666666,0.34617818333333333,0.0,0.75,25.555555555555557,75.55555555555556
0 days 00:04:01.020000,187.5,9021.281382583335,99.094002,111.9410254,86.779462,17226.943643,37.82333025,32.940152016666666,22.727273,0.5068420666666666,0.3552700833333333,0.0,0.75,25.555555555555557,75.55555555555556
0 days 00:05:01.020000,187.5,8947.265049466667,99.68246330000001,112.45829654999999,87.48274676666666,17226.943643,37.99616708333333,32.688371016666665,22.727273,0.5068169666666666,0.35469008333333335,0.0,0.75,25.555555555555557,75.55555555555556
0 days 00:06:01.020000,187.5,8894.348888466666,100.02445086666667,112.74731928333334,87.87673798333334,17226.943643,38.16697696666667,32.3689796,22.7301645,0.5073069,0.35448298333333333,0.0,0.75,25.555555555555557,75.55555555555556
0 days 00:07:01.020000,187.5,8855.840348766667,100.23419791666667,112.91753506666667,88.09043623333334,17226.943643,38.33534266666666,31.9872436,22.900763,0.5095850333333334,0.35182205,0.0,0.75,25.555555555555557,75.55555555555556
0 days 00:08:01.020000,187.5,8826.346648583334,100.382452,113.03515531666667,88.24244715,17226.943643,38.5009976,31.548211316666666,22.900763,0.5110940333333333,0.3500958,0.0,0.75,25.555555555555557,75.55555555555556
0 days 00:09:01.020000,187.5,8802.689274733333,100.48847125,113.11628881666667,88.35246938333333,17226.943643,38.6637237,31.056617966666668,22.900763,0.51436425,0.3467211,0.0,0.75,25.555555555555557,75.55555555555556
