Time(s),HeartRate(1/min),CardiacOutput(mL/min),MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),TotalMetabolicRate(kcal/day),CoreTemperature(degC),SkinTemperature(degC),RespirationRate(1/min),AchievedExerciseLevel,FatigueLevel,TotalMetabolicRate(W),intensity,atemp_c,rh_pct
0 days 00:00:01.020000,152.01951713333335,8642.213329766666,83.89520776666667,99.07765549999999,68.36492976666666,15377.074739633334,37.110675,33.1629427,19.07339411666667,0.6636324833333334,0.1788379,0.0,0.6666666666666666,24.444444444444443,71.11111111111111
0 days 00:01:01.020000,187.5,8967.527866333334,95.23502076666666,107.92313341666666,82.97359725,15505.877432,37.268328200000006,33.22978406666667,23.089577333333335,0.5793098333333333,0.27401365,0.0,0.6666666666666666,24.444444444444443,71.11111111111111
0 days 00:02:01.020000,187.5,8926.141083316666,98.30604118333333,111.02265523333334,86.1290795,15505.877432,37.42461956666667,33.2175654,22.7937775,0.5699979833333334,0.28517016666666667,0.0,0.6666666666666666,24.444444444444443,71.11111111111111
0 days 00:03:01.020000,187.5,8830.86680325,100.0550999,112.70441226666667,87.93045091666666,15505.877432,37.58069143333333,33.13069315,22.690248566666664,0.5489787333333334,0.3054865166666667,0.0,0.6666666666666666,24.444444444444443,71.11111111111111
0 days 00:04:01.020000,187.5,8735.370795733334,100.99686708333334,113.55849583333334,88.84951753333333,15505.877432,37.73596748333333,32.97264738333333,22.556391,0.5383322166666668,0.31781461666666666,0.0,0.6666666666666666,24.444444444444443,71.11111111111111
0 days 00:05:01.020000,187.5,8663.685904150001,101.4926421,113.98310348333332,89.34485783333334,15505.877432,37.889936,32.74801986666667,22.57063116666667,0.5296665500000001,0.3257620666666667,0.0,0.6666666666666666,24.444444444444443,71.11111111111111
0 days 00:06:01.020000,187.5,8612.53831435,101.7759981,114.21386516666666,89.63341438333333,15505.877432,38.04212016666667,32.46165501666666,22.727273,0.5307354,0.3252836333333333,0.0,0.6666666666666666,24.444444444444443,71.11111111111111
0 days 00:07:01.020000,187.5,8574.693616866667,101.96099133333334,114.35929761666667,89.82417471666666,15505.877432,38.1922027,32.118207733333335,22.727273,0.5319524833333333,0.3233231833333334,0.0,0.6666666666666666,24.444444444444443,71.11111111111111
0 days 00:08:01.020000,187.5,8546.469400016667,102.07888851666667,114.44719475000001,89.94790811666667,15505.877432,38.339914900000004,31.722116033333336,22.7648625,0.5342399833333334,0.32136814999999996,0.0,0.6666666666666666,24.444444444444443,71.11111111111111
0 days 00:09:01.020000,187.5,8524.333999866667,102.16584508333334,114.51046543333334,90.03979731666666,15505.877432,38.48503336666667,31.277654199999997,22.900763,0.5370812666666667,0.3178571,0.0,0.6666666666666666,24.444444444444443,71.11111111111111
