Time(s),HeartRate(1/min),CardiacOutput(mL/min),MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),TotalMetabolicRate(kcal/day),CoreTemperature(degC),SkinTemperature(degC),RespirationRate(1/min),AchievedExerciseLevel,FatigueLevel,TotalMetabolicRate(W),intensity,atemp_c,rh_pct
0 days 00:00:01.020000,153.00971806666666,8883.887318733332,81.43898421666667,96.79822083333333,65.68437243333334,17082.040613983332,37.12001368333333,33.159282499999996,19.261835233333333,0.6379168833333334,0.20623218333333335,0.0,0.75,20.0,44.44444444444444
0 days 00:01:01.020000,187.5,9258.51770285,92.85262403333333,105.81716756666667,80.14735126666666,17226.943643,37.295630100000004,33.21380678333333,23.142516366666666,0.5626315833333333,0.2952905666666667,0.0,0.75,20.0,44.44444444444444
0 days 00:02:01.020000,187.5,9217.767773033333,96.08309595,109.08221951666665,83.45582138333333,17226.943643,37.46959446666666,33.18197348333333,22.895514000000002,0.5369197,0.32421780000000006,0.0,0.75,20.0,44.44444444444444
0 days 00:03:01.020000,187.5,9119.639977233333,98.01535213333334,110.94935333333333,85.54675961666666,17226.943643,37.643241350000004,33.06891926666667,22.727273,0.5147894166666667,0.3461986166666666,0.0,0.75,20.0,44.44444444444444
0 days 00:04:01.020000,187.5,9021.322187383334,99.09413338333334,111.94120708333334,86.77953465,17226.943643,37.81580025,32.8786007,22.727273,0.5068191833333333,0.35529475,0.0,0.75,20.0,44.44444444444444
0 days 00:05:01.020000,187.5,8947.326012900001,99.68269919999999,112.45860871666667,87.48289506666667,17226.943643,37.98674135,32.616238200000005,22.727273,0.50678995,0.35471916666666664,0.0,0.75,20.0,44.44444444444444
0 days 00:06:01.020000,187.5,8894.433364800001,100.02481764999999,112.74779286666667,87.87702971666667,17226.943643,38.15560871666666,32.28727766666667,22.7301645,0.5072761833333334,0.3545163,0.0,0.75,20.0,44.44444444444444
0 days 00:07:01.020000,187.5,8855.951776783333,100.23472093333334,112.91819975,88.09086186666667,17226.943643,38.32197315,31.8969573,22.900763,0.5095444666666666,0.3518529166666667,0.0,0.75,20.0,44.44444444444444
0 days 00:08:01.020000,187.5,8826.488299766666,100.38315250000001,113.03603685,88.24302143333333,17226.943643,38.48557623333333,31.450302283333333,22.900763,0.5110568666666667,0.35013846666666665,0.0,0.75,20.0,44.44444444444444
0 days 00:09:01.020000,187.5,8802.865455183333,100.48936863333333,113.11741218333333,88.35320801666667,17226.943643,38.64621064999999,30.9520181,22.900763,0.5143222333333334,0.3467664833333333,0.0,0.75,20.0,44.44444444444444
