Time(s),HeartRate(1/min),CardiacOutput(mL/min),MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),TotalMetabolicRate(kcal/day),CoreTemperature(degC),SkinTemperature(degC),RespirationRate(1/min),AchievedExerciseLevel,FatigueLevel,TotalMetabolicRate(W),intensity,atemp_c,rh_pct
0 days 00:00:01.020000,149.63539395,8132.850449183333,89.18126471666666,103.98665851666667,73.83663288333334,11967.142991633333,37.091370016666666,33.16461998333333,18.519237850000003,0.7299466166666666,0.10026186666666666,0.0,0.5,30.0,53.333333333333336
0 days 00:01:01.020000,187.5,8361.696759416667,99.32609431666667,111.4124941,87.48251570000001,12063.745011,37.2102016,33.24748113333333,22.9016975,0.6324000000000001,0.21075136666666666,0.0,0.5,30.0,53.333333333333336
0 days 00:02:01.020000,187.5,8328.6672209,101.5156122,113.61744346666666,89.52282275,12063.745011,37.327581900000006,33.2693625,22.567783133333332,0.6217365499999999,0.22060436666666666,0.0,0.5,30.0,53.333333333333336
0 days 00:03:01.020000,187.5,8242.388732016667,102.67120443333333,114.70061631666667,90.63493104999999,12063.745011,37.445107316666665,33.23238941666667,22.39367103333333,0.6183349166666667,0.22522503333333332,0.0,0.5,30.0,53.333333333333336
0 days 00:04:01.020000,187.5,8152.3262896333335,103.26337418333333,115.20209461666667,91.23000503333333,12063.745011,37.56227431666667,33.13872635,22.38806,0.6139982333333334,0.22831191666666667,0.0,0.5,30.0,53.333333333333336
0 days 00:05:01.020000,187.5,8082.982288,103.57749815000001,115.44280593333333,91.55761988333333,12063.745011,37.67867485,32.99164388333333,22.38806,0.6148397833333333,0.22882639999999999,0.0,0.5,30.0,53.333333333333336
0 days 00:06:01.020000,187.5,8033.219010383333,103.75904103333333,115.57053806666666,91.7523417,12063.745011,37.79398593333334,32.79467626666666,22.38806,0.6129418166666666,0.22931466666666667,0.0,0.5,30.0,53.333333333333336
0 days 00:07:01.020000,187.5,7997.226501033333,103.87636553333333,115.64857523333333,91.8803003,12063.745011,37.90794696666667,32.551274899999996,22.410504133333333,0.6073788833333332,0.23544766666666667,0.0,0.5,30.0,53.333333333333336
0 days 00:08:01.020000,187.5,7970.613924116667,103.95475755000001,115.69770846666667,91.9671842,12063.745011,38.02031241666667,32.26474313333333,22.556391,0.6084838666666667,0.23329995,0.0,0.5,30.0,53.333333333333336
0 days 00:09:01.020000,187.5,7949.069994083333,104.02505898333334,115.74445913333334,92.04378346666667,12063.745011,38.1309422,31.938224466666668,22.556391,0.61086535,0.23171411666666666,0.0,0.5,30.0,53.333333333333336
