Time(s),HeartRate(1/min),CoreTemperature(degC),SkinTemperature(degC),atemp_c,rh_pct,intensity
0 days 00:00:01.020000,150.90817376666666,37.100970966666665,33.15820311666667,23.333333333333332,62.22222222222222,0.5805555555555555
0 days 00:01:01.020000,187.5,37.219692783333336,33.21774873333333,23.333333333333332,62.22222222222222,0.4263888888888889
0 days 00:02:01.020000,187.5,37.385206266666664,33.23139093333334,23.333333333333332,62.22222222222222,0.9875
0 days 00:03:01.020000,164.7340164833333,37.53199735,33.1563661,23.333333333333332,62.22222222222222,0.2569444444444444
0 days 00:04:01.020000,186.76470586666667,37.63772556666667,33.014943966666664,23.333333333333332,62.22222222222222,0.6694444444444444
0 days 00:05:01.020000,187.5,37.81090568333333,32.83894436666667,23.333333333333332,62.22222222222222,0.8277777777777777
0 days 00:06:01.020000,187.5,37.96381458333334,32.58064546666667,23.333333333333332,62.22222222222222,0.5027777777777778
0 days 00:07:01.020000,187.5,38.095169383333335,32.256887866666666,23.333333333333332,62.22222222222222,0.6611111111111111
0 days 00:08:01.020000,187.5,38.205998216666664,31.875996133333334,23.333333333333332,62.22222222222222,0.33888888888888885
0 days 00:09:01.020000,187.5,38.31333336666667,31.46535971666667,23.333333333333332,62.22222222222222,0.6666666666666666
