Time(s),HeartRate(1/min),CoreTemperature(degC),SkinTemperature(degC),atemp_c,rh_pct,intensity
0 days 00:00:01.020000,127.0920033,37.06278663333333,33.1515133,30.0,62.22222222222222,0.2569444444444444
0 days 00:01:01.020000,186.76470586666667,37.17312055,33.24482221666667,30.0,62.22222222222222,0.6694444444444444
0 days 00:02:01.020000,187.5,37.34928726666667,33.297890583333334,30.0,62.22222222222222,0.8277777777777777
0 days 00:03:01.020000,187.5,37.50617808333333,33.25826933333333,30.0,62.22222222222222,0.4986111111111111
0 days 00:04:01.020000,187.5,37.613759933333334,33.1337409,30.0,62.22222222222222,0.41666666666666663
0 days 00:05:01.020000,187.5,37.710815933333336,32.958258533333336,30.0,62.22222222222222,0.4194444444444444
0 days 00:06:01.020000,187.5,37.826198633333334,32.74861345,30.0,62.22222222222222,0.5874999999999999
0 days 00:07:01.020000,187.5,37.988538266666666,32.51031811666667,30.0,62.22222222222222,0.8236111111111111
0 days 00:08:01.020000,170.38076203333333,38.11088075,32.19445925,30.0,62.22222222222222,0.25972222222222224
0 days 00:09:01.020000,187.13235293333335,38.22882646666667,31.848993066666665,30.0,62.22222222222222,0.8333333333333333
