Time(s),HeartRate(1/min),CoreTemperature(degC),SkinTemperature(degC),atemp_c,rh_pct,intensity
0 days 00:00:01.020000,153.00971806666666,37.12007738333333,33.16742953333333,25.555555555555557,44.44444444444444,0.7430555555555556
0 days 00:01:01.020000,178.63562093333334,37.247815100000004,33.226380416666665,25.555555555555557,44.44444444444444,0.3347222222222222
0 days 00:02:01.020000,187.5,37.335339383333334,33.21572928333333,25.555555555555557,44.44444444444444,0.42499999999999993
0 days 00:03:01.020000,187.5,37.49071636666667,33.176602949999996,25.555555555555557,44.44444444444444,0.9097222222222221
0 days 00:04:01.020000,187.5,37.65548171666667,33.06409923333334,25.555555555555557,44.44444444444444,0.4972222222222222
0 days 00:05:01.020000,187.5,37.751126066666664,32.8591866,25.555555555555557,44.44444444444444,0.33194444444444443
0 days 00:06:01.020000,187.5,37.8165567,32.60755961666667,25.555555555555557,44.44444444444444,0.25
0 days 00:07:01.020000,182.18954238333333,37.87116648333333,32.33130571666667,25.555555555555557,44.44444444444444,0.25416666666666665
0 days 00:08:01.020000,187.31617646666666,37.953236833333335,32.05124406666667,25.555555555555557,44.44444444444444,0.5013888888888889
0 days 00:09:01.020000,187.5,38.07274735,31.754911166666666,25.555555555555557,44.44444444444444,0.5833333333333333
