Time(s),HeartRate(1/min),CoreTemperature(degC),SkinTemperature(degC),intensity,atemp_c,rh_pct
0 days 00:00:01.020000,75.0,37.031806,33.110812,0.75,26.666666666666668,40.0
0 days 00:00:02.020000,76.923077,37.03419,33.112452,0.75,26.666666666666668,40.0
0 days 00:00:03.020000,78.947368,37.037001,33.114354,0.75,26.666666666666668,40.0
0 days 00:00:04.020000,83.333333,37.039977,33.116255,0.75,26.666666666666668,40.0
0 days 00:00:05.020000,85.714286,37.043015,33.118139,0.75,26.666666666666668,40.0
0 days 00:00:06.020000,88.235294,37.046075,33.120018,0.75,26.666666666666668,40.0
0 days 00:00:07.020000,93.75,37.049142,33.121906,0.75,26.666666666666668,40.0
0 days 00:00:08.020000,93.75,37.052211,33.123806,0.75,26.666666666666668,40.0
0 days 00:00:09.020000,96.774194,37.055281,33.12571,0.75,26.666666666666668,40.0
0 days 00:00:10.020000,100.0,37.058348,33.127631,0.75,26.666666666666668,40.0
0 days 00:00:11.020000,103.448276,37.061413,33.129577,0.75,26.666666666666668,40.0
0 days 00:00:12.020000,103.448276,37.064477,33.131542,0.75,26.666666666666668,40.0
0 days 00:00:13.020000,107.142857,37.067538,33.133529,0.75,26.666666666666668,40.0
0 days 00:00:14.020000,107.142857,37.070595,33.135542,0.75,26.666666666666668,40.0
0 days 00:00:15.020000,111.111111,37.07365,33.137585,0.75,26.666666666666668,40.0
0 days 00:00:16.020000,115.384615,37.076704,33.139644,0.75,26.666666666666668,40.0
0 days 00:00:17.020000,115.384615,37.079752,33.141744,0.75,26.666666666666668,40.0
0 days 00:00:18.020000,120.0,37.082799,33.143848,0.75,26.666666666666668,40.0
0 days 00:00:19.020000,120.0,37.085843,33.145982,0.75,26.666666666666668,40.0
0 days 00:00:20.020000,125.0,37.088885,33.148131,0.75,26.666666666666668,40.0
0 days 00:00:21.020000,130.434783,37.09192,33.150314,0.75,26.666666666666668,40.0
0 days 00:00:22.020000,130.434783,37.094952,33.152529,0.75,26.666666666666668,40.0
0 days 00:00:23.020000,136.363636,37.097983,33.154754,0.75,26.666666666666668,40.0
0 days 00:00:24.020000,142.857143,37.101007,33.157004,0.75,26.666666666666668,40.0
0 days 00:00:25.020000,150.0,37.104025,33.159271,0.75,26.666666666666668,40.0
0 days 00:00:26.020000,157.894737,37.107039,33.161566,0.75,26.666666666666668,40.0
0 days 00:00:27.020000,166.666667,37.110046,33.163855,0.75,26.666666666666668,40.0
0 days 00:00:28.020000,176.470588,37.113049,33.166126,0.75,26.666666666666668,40.0
0 days 00:00:29.020000,176.470588,37.116049,33.168401,0.75,26.666666666666668,40.0
0 days 00:00:30.020000,187.5,37.119045,33.170657,0.75,26.666666666666668,40.0
0 days 00:00:31.020000,187.5,37.122035,33.172871,0.75,26.666666666666668,40.0
0 days 00:00:32.020000,187.5,37.12503,33.17502,0.75,26.666666666666668,40.0
0 days 00:00:33.020000,187.5,37.128024,33.177111,0.75,26.666666666666668,40.0
