Time(s),HeartRate(1/min),CoreTemperature(degC),SkinTemperature(degC),intensity,atemp_c,rh_pct
0 days 00:00:01.020000,75.0,37.031812,33.110812,0.75,26.666666666666668,66.66666666666667
0 days 00:00:02.020000,76.923077,37.034201,33.112452,0.75,26.666666666666668,66.66666666666667
0 days 00:00:03.020000,78.947368,37.037018,33.114354,0.75,26.666666666666668,66.66666666666667
0 days 00:00:04.020000,83.333333,37.039999,33.116255,0.75,26.666666666666668,66.66666666666667
0 days 00:00:05.020000,85.714286,37.043043,33.118139,0.75,26.666666666666668,66.66666666666667
0 days 00:00:06.020000,88.235294,37.046108,33.120018,0.75,26.666666666666668,66.66666666666667
0 days 00:00:07.020000,93.75,37.049181,33.121906,0.75,26.666666666666668,66.66666666666667
0 days 00:00:08.020000,93.75,37.052255,33.123806,0.75,26.666666666666668,66.66666666666667
0 days 00:00:09.020000,96.774194,37.05533,33.12571,0.75,26.666666666666668,66.66666666666667
0 days 00:00:10.020000,100.0,37.058403,33.127631,0.75,26.666666666666668,66.66666666666667
0 days 00:00:11.020000,103.448276,37.061474,33.129577,0.75,26.666666666666668,66.66666666666667
0 days 00:00:12.020000,103.448276,37.064543,33.131542,0.75,26.666666666666668,66.66666666666667
0 days 00:00:13.020000,107.142857,37.067609,33.133529,0.75,26.666666666666668,66.66666666666667
0 days 00:00:14.020000,107.142857,37.070673,33.135541,0.75,26.666666666666668,66.66666666666667
0 days 00:00:15.020000,111.111111,37.073733,33.137585,0.75,26.666666666666668,66.66666666666667
0 days 00:00:16.020000,115.384615,37.076792,33.139644,0.75,26.666666666666668,66.66666666666667
0 days 00:00:17.020000,115.384615,37.079846,33.141744,0.75,26.666666666666668,66.66666666666667
0 days 00:00:18.020000,120.0,37.082899,33.143848,0.75,26.666666666666668,66.66666666666667
0 days 00:00:19.020000,120.0,37.085949,33.145982,0.75,26.666666666666668,66.66666666666667
0 days 00:00:20.020000,125.0,37.088997,33.148131,0.75,26.666666666666668,66.66666666666667
0 days 00:00:21.020000,130.434783,37.092038,33.150314,0.75,26.666666666666668,66.66666666666667
0 days 00:00:22.020000,130.434783,37.095076,33.152529,0.75,26.666666666666668,66.66666666666667
0 days 00:00:23.020000,136.363636,37.098113,33.154754,0.75,26.666666666666668,66.66666666666667
0 days 00:00:24.020000,142.857143,37.101144,33.157004,0.75,26.666666666666668,66.66666666666667
0 days 00:00:25.020000,150.0,37.10417,33.15927,0.75,26.666666666666668,66.66666666666667
0 days 00:00:26.020000,157.894737,37.10719,33.161564,0.75,26.666666666666668,66.66666666666667
0 days 00:00:27.020000,166.666667,37.110205,33.163851,0.75,26.666666666666668,66.66666666666667
0 days 00:00:28.020000,176.470588,37.113216,33.166121,0.75,26.666666666666668,66.66666666666667
0 days 00:00:29.020000,176.470588,37.116223,33.168395,0.75,26.666666666666668,66.66666666666667
0 days 00:00:30.020000,187.5,37.119228,33.170649,0.75,26.666666666666668,66.66666666666667
0 days 00:00:31.020000,187.5,37.122227,33.172862,0.75,26.666666666666668,66.66666666666667
0 days 00:00:32.020000,187.5,37.125231,33.175009,0.75,26.666666666666668,66.66666666666667
0 days 00:00:33.020000,187.5,37.128235,33.177099,0.75,26.666666666666668,66.66666666666667
0 days 00:00:34.020000,187.5,37.131233,33.179136,0.75,26.666666666666668,66.66666666666667
0 days 00:00:35.020000,187.5,37.134234,33.181126,0.75,26.666666666666668,66.66666666666667
0 days 00:00:36.020000,187.5,37.137232,33.183072,0.75,26.666666666666668,66.66666666666667
0 days 00:00:37.020000,187.5,37.140224,33.184978,0.75,26.666666666666668,66.66666666666667
0 days 00:00:38.020000,187.5,37.143217,33.186847,0.75,26.666666666666668,66.66666666666667
0 days 00:00:39.020000,187.5,37.146204,33.18868,0.75,26.666666666666668,66.66666666666667
0 days 00:00:40.020000,187.5,37.149185,33.190479,0.75,26.666666666666668,66.66666666666667
0 days 00:00:41.020000,187.5,37.152168,33.192245,0.75,26.666666666666668,66.66666666666667
0 days 00:00:42.020000,187.5,37.15514,33.193979,0.75,26.666666666666668,66.66666666666667
0 days 00:00:43.020000,187.5,37.158109,33.195682,0.75,26.666666666666668,66.66666666666667
0 days 00:00:44.020000,187.5,37.161078,33.197355,0.75,26.666666666666668,66.66666666666667
0 days 00:00:45.020000,187.5,37.164037,33.198997,0.75,26.666666666666668,66.66666666666667
0 days 00:00:46.020000,187.5,37.166995,33.20061,0.75,26.666666666666668,66.66666666666667
0 days 00:00:47.020000,187.5,37.169949,33.202194,0.75,26.666666666666668,66.66666666666667
0 days 00:00:48.020000,187.5,37.172897,33.203748,0.75,26.666666666666668,66.66666666666667
0 days 00:00:49.020000,187.5,37.175845,33.205275,0.75,26.666666666666668,66.66666666666667
0 days 00:00:50.020000,187.5,37.178784,33.206773,0.75,26.666666666666668,66.66666666666667
0 days 00:00:51.020000,187.5,37.181721,33.208244,0.75,26.666666666666668,66.66666666666667
0 days 00:00:52.020000,187.5,37.184657,33.209686,0.75,26.666666666666668,66.66666666666667
0 days 00:00:53.020000,187.5,37.187585,33.211101,0.75,26.666666666666668,66.66666666666667
0 days 00:00:54.020000,187.5,37.190514,33.212489,0.75,26.666666666666668,66.66666666666667
0 days 00:00:55.020000,187.5,37.193439,33.21385,0.75,26.666666666666668,66.66666666666667
0 days 00:00:56.020000,187.5,37.196363,33.215184,0.75,26.666666666666668,66.66666666666667
0 days 00:00:57.020000,187.5,37.199286,33.216491,0.75,26.666666666666668,66.66666666666667
0 days 00:00:58.020000,187.5,37.202206,33.217771,0.75,26.666666666666668,66.66666666666667
0 days 00:00:59.020000,187.5,37.205127,33.219025,0.75,26.666666666666668,66.66666666666667
0 days 00:01:00.020000,187.5,37.208047,33.220253,0.75,26.666666666666668,66.66666666666667
0 days 00:01:01.020000,187.5,37.210967,33.221455,0.75,26.666666666666668,66.66666666666667
0 days 00:01:02.020000,187.5,37.213886,33.22263,0.75,26.666666666666668,66.66666666666667
0 days 00:01:03.020000,187.5,37.216805,33.22378,0.75,26.666666666666668,66.66666666666667
0 days 00:01:04.020000,187.5,37.219724,33.224904,0.75,26.666666666666668,66.66666666666667
0 days 00:01:05.020000,187.5,37.222643,33.226002,0.75,26.666666666666668,66.66666666666667
0 days 00:01:06.020000,187.5,37.225562,33.227074,0.75,26.666666666666668,66.66666666666667
0 days 00:01:07.020000,187.5,37.228481,33.228122,0.75,26.666666666666668,66.66666666666667
0 days 00:01:08.020000,187.5,37.2314,33.229144,0.75,26.666666666666668,66.66666666666667
0 days 00:01:09.020000,187.5,37.234319,33.23014,0.75,26.666666666666668,66.66666666666667
0 days 00:01:10.020000,187.5,37.237239,33.231112,0.75,26.666666666666668,66.66666666666667
0 days 00:01:11.020000,187.5,37.240159,33.232058,0.75,26.666666666666668,66.66666666666667
0 days 00:01:12.020000,187.5,37.243079,33.232979,0.75,26.666666666666668,66.66666666666667
0 days 00:01:13.020000,187.5,37.246,33.233876,0.75,26.666666666666668,66.66666666666667
0 days 00:01:14.020000,187.5,37.248921,33.234747,0.75,26.666666666666668,66.66666666666667
0 days 00:01:15.020000,187.5,37.251842,33.235594,0.75,26.666666666666668,66.66666666666667
0 days 00:01:16.020000,187.5,37.254765,33.236416,0.75,26.666666666666668,66.66666666666667
0 days 00:01:17.020000,187.5,37.257687,33.237213,0.75,26.666666666666668,66.66666666666667
0 days 00:01:18.020000,187.5,37.26061,33.237986,0.75,26.666666666666668,66.66666666666667
0 days 00:01:19.020000,187.5,37.263534,33.238734,0.75,26.666666666666668,66.66666666666667
0 days 00:01:20.020000,187.5,37.266457,33.239457,0.75,26.666666666666668,66.66666666666667
0 days 00:01:21.020000,187.5,37.269381,33.240157,0.75,26.666666666666668,66.66666666666667
0 days 00:01:22.020000,187.5,37.272306,33.240831,0.75,26.666666666666668,66.66666666666667
0 days 00:01:23.020000,187.5,37.275231,33.241482,0.75,26.666666666666668,66.66666666666667
0 days 00:01:24.020000,187.5,37.278157,33.242108,0.75,26.666666666666668,66.66666666666667
0 days 00:01:25.020000,187.5,37.281084,33.242711,0.75,26.666666666666668,66.66666666666667
0 days 00:01:26.020000,187.5,37.284011,33.243289,0.75,26.666666666666668,66.66666666666667
0 days 00:01:27.020000,187.5,37.286938,33.243843,0.75,26.666666666666668,66.66666666666667
0 days 00:01:28.020000,187.5,37.289865,33.244373,0.75,26.666666666666668,66.66666666666667
0 days 00:01:29.020000,187.5,37.292792,33.244878,0.75,26.666666666666668,66.66666666666667
0 days 00:01:30.020000,187.5,37.29572,33.24536,0.75,26.666666666666668,66.66666666666667
0 days 00:01:31.020000,187.5,37.298648,33.245818,0.75,26.666666666666668,66.66666666666667
0 days 00:01:32.020000,187.5,37.301575,33.246251,0.75,26.666666666666668,66.66666666666667
0 days 00:01:33.020000,187.5,37.304503,33.246661,0.75,26.666666666666668,66.66666666666667
0 days 00:01:34.020000,187.5,37.307431,33.247047,0.75,26.666666666666668,66.66666666666667
0 days 00:01:35.020000,187.5,37.310359,33.247409,0.75,26.666666666666668,66.66666666666667
0 days 00:01:36.020000,187.5,37.313287,33.247747,0.75,26.666666666666668,66.66666666666667
0 days 00:01:37.020000,187.5,37.316214,33.248061,0.75,26.666666666666668,66.66666666666667
0 days 00:01:38.020000,187.5,37.319142,33.248352,0.75,26.666666666666668,66.66666666666667
0 days 00:01:39.020000,187.5,37.322069,33.248619,0.75,26.666666666666668,66.66666666666667
0 days 00:01:40.020000,187.5,37.324997,33.248862,0.75,26.666666666666668,66.66666666666667
0 days 00:01:41.020000,187.5,37.327924,33.249081,0.75,26.666666666666668,66.66666666666667
0 days 00:01:42.020000,187.5,37.330851,33.249277,0.75,26.666666666666668,66.66666666666667
0 days 00:01:43.020000,187.5,37.333778,33.24945,0.75,26.666666666666668,66.66666666666667
0 days 00:01:44.020000,187.5,37.336705,33.249599,0.75,26.666666666666668,66.66666666666667
0 days 00:01:45.020000,187.5,37.339632,33.249724,0.75,26.666666666666668,66.66666666666667
0 days 00:01:46.020000,187.5,37.342559,33.249826,0.75,26.666666666666668,66.66666666666667
0 days 00:01:47.020000,187.5,37.345485,33.249904,0.75,26.666666666666668,66.66666666666667
0 days 00:01:48.020000,187.5,37.348411,33.249959,0.75,26.666666666666668,66.66666666666667
0 days 00:01:49.020000,187.5,37.351337,33.24999,0.75,26.666666666666668,66.66666666666667
0 days 00:01:50.020000,187.5,37.354263,33.249997,0.75,26.666666666666668,66.66666666666667
0 days 00:01:51.020000,187.5,37.357189,33.249982,0.75,26.666666666666668,66.66666666666667
0 days 00:01:52.020000,187.5,37.360115,33.249942,0.75,26.666666666666668,66.66666666666667
0 days 00:01:53.020000,187.5,37.36304,33.24988,0.75,26.666666666666668,66.66666666666667
0 days 00:01:54.020000,187.5,37.365966,33.249794,0.75,26.666666666666668,66.66666666666667
0 days 00:01:55.020000,187.5,37.368891,33.249684,0.75,26.666666666666668,66.66666666666667
0 days 00:01:56.020000,187.5,37.371816,33.249552,0.75,26.666666666666668,66.66666666666667
0 days 00:01:57.020000,187.5,37.374741,33.249396,0.75,26.666666666666668,66.66666666666667
0 days 00:01:58.020000,187.5,37.377665,33.249217,0.75,26.666666666666668,66.66666666666667
0 days 00:01:59.020000,187.5,37.38059,33.249014,0.75,26.666666666666668,66.66666666666667
0 days 00:02:00.020000,187.5,37.383515,33.248789,0.75,26.666666666666668,66.66666666666667
0 days 00:02:01.020000,187.5,37.386439,33.24854,0.75,26.666666666666668,66.66666666666667
0 days 00:02:02.020000,187.5,37.389363,33.248268,0.75,26.666666666666668,66.66666666666667
0 days 00:02:03.020000,187.5,37.392288,33.247973,0.75,26.666666666666668,66.66666666666667
0 days 00:02:04.020000,187.5,37.395212,33.247654,0.75,26.666666666666668,66.66666666666667
