Time(s),HeartRate(1/min),CoreTemperature(degC),SkinTemperature(degC),intensity,atemp_c,rh_pct
0 days 00:00:01.020000,75.0,37.031063,33.110772,0.25,26.666666666666668,40.0
0 days 00:00:02.020000,75.0,37.031931,33.111796,0.25,26.666666666666668,40.0
0 days 00:00:03.020000,76.923077,37.032936,33.112962,0.25,26.666666666666668,40.0
0 days 00:00:04.020000,78.947368,37.033994,33.114138,0.25,26.666666666666668,40.0
0 days 00:00:05.020000,83.333333,37.035074,33.115308,0.25,26.666666666666668,40.0
0 days 00:00:06.020000,85.714286,37.03616,33.116479,0.25,26.666666666666668,40.0
0 days 00:00:07.020000,90.909091,37.037248,33.11766,0.25,26.666666666666668,40.0
0 days 00:00:08.020000,90.909091,37.038337,33.118851,0.25,26.666666666666668,40.0
0 days 00:00:09.020000,93.75,37.039425,33.120042,0.25,26.666666666666668,40.0
0 days 00:00:10.020000,96.774194,37.040514,33.121231,0.25,26.666666666666668,40.0
0 days 00:00:11.020000,100.0,37.041602,33.122428,0.25,26.666666666666668,40.0
0 days 00:00:12.020000,100.0,37.042688,33.123637,0.25,26.666666666666668,40.0
0 days 00:00:13.020000,103.448276,37.043776,33.12484,0.25,26.666666666666668,40.0
0 days 00:00:14.020000,103.448276,37.044862,33.126051,0.25,26.666666666666668,40.0
0 days 00:00:15.020000,107.142857,37.045948,33.127269,0.25,26.666666666666668,40.0
0 days 00:00:16.020000,107.142857,37.047033,33.1285,0.25,26.666666666666668,40.0
0 days 00:00:17.020000,107.142857,37.048118,33.129721,0.25,26.666666666666668,40.0
0 days 00:00:18.020000,111.111111,37.049203,33.130942,0.25,26.666666666666668,40.0
0 days 00:00:19.020000,111.111111,37.050287,33.132172,0.25,26.666666666666668,40.0
0 days 00:00:20.020000,111.111111,37.051372,33.133389,0.25,26.666666666666668,40.0
0 days 00:00:21.020000,111.111111,37.052458,33.134598,0.25,26.666666666666668,40.0
0 days 00:00:22.020000,115.384615,37.053544,33.135805,0.25,26.666666666666668,40.0
0 days 00:00:23.020000,115.384615,37.054628,33.137033,0.25,26.666666666666668,40.0
0 days 00:00:24.020000,115.384615,37.055711,33.138265,0.25,26.666666666666668,40.0
0 days 00:00:25.020000,115.384615,37.056794,33.139488,0.25,26.666666666666668,40.0
0 days 00:00:26.020000,115.384615,37.057878,33.140702,0.25,26.666666666666668,40.0
0 days 00:00:27.020000,115.384615,37.058962,33.141908,0.25,26.666666666666668,40.0
0 days 00:00:28.020000,120.0,37.060046,33.143112,0.25,26.666666666666668,40.0
0 days 00:00:29.020000,120.0,37.061127,33.144335,0.25,26.666666666666668,40.0
0 days 00:00:30.020000,120.0,37.062208,33.145558,0.25,26.666666666666668,40.0
0 days 00:00:31.020000,120.0,37.06329,33.14677,0.25,26.666666666666668,40.0
0 days 00:00:32.020000,120.0,37.064371,33.147972,0.25,26.666666666666668,40.0
0 days 00:00:33.020000,125.0,37.065451,33.149183,0.25,26.666666666666668,40.0
0 days 00:00:34.020000,125.0,37.066528,33.150418,0.25,26.666666666666668,40.0
0 days 00:00:35.020000,125.0,37.067604,33.151651,0.25,26.666666666666668,40.0
0 days 00:00:36.020000,130.434783,37.068678,33.15289,0.25,26.666666666666668,40.0
0 days 00:00:37.020000,130.434783,37.06975,33.154143,0.25,26.666666666666668,40.0
0 days 00:00:38.020000,136.363636,37.070823,33.155387,0.25,26.666666666666668,40.0
0 days 00:00:39.020000,136.363636,37.071891,33.15665,0.25,26.666666666666668,40.0
0 days 00:00:40.020000,136.363636,37.072958,33.157918,0.25,26.666666666666668,40.0
0 days 00:00:41.020000,142.857143,37.074025,33.159189,0.25,26.666666666666668,40.0
0 days 00:00:42.020000,142.857143,37.075087,33.160477,0.25,26.666666666666668,40.0
0 days 00:00:43.020000,150.0,37.076148,33.161754,0.25,26.666666666666668,40.0
0 days 00:00:44.020000,150.0,37.077208,33.16305,0.25,26.666666666666668,40.0
0 days 00:00:45.020000,150.0,37.078265,33.164348,0.25,26.666666666666668,40.0
0 days 00:00:46.020000,157.894737,37.079317,33.165666,0.25,26.666666666666668,40.0
0 days 00:00:47.020000,157.894737,37.080369,33.166993,0.25,26.666666666666668,40.0
0 days 00:00:48.020000,157.894737,37.081421,33.168302,0.25,26.666666666666668,40.0
0 days 00:00:49.020000,166.666667,37.08247,33.169596,0.25,26.666666666666668,40.0
0 days 00:00:50.020000,166.666667,37.083518,33.170908,0.25,26.666666666666668,40.0
0 days 00:00:51.020000,176.470588,37.084565,33.172217,0.25,26.666666666666668,40.0
0 days 00:00:52.020000,166.666667,37.085607,33.173532,0.25,26.666666666666668,40.0
0 days 00:00:53.020000,166.666667,37.086649,33.174836,0.25,26.666666666666668,40.0
0 days 00:00:54.020000,176.470588,37.087691,33.176137,0.25,26.666666666666668,40.0
0 days 00:00:55.020000,176.470588,37.088724,33.177479,0.25,26.666666666666668,40.0
0 days 00:00:56.020000,176.470588,37.089758,33.178817,0.25,26.666666666666668,40.0
0 days 00:00:57.020000,176.470588,37.090792,33.18014,0.25,26.666666666666668,40.0
0 days 00:00:58.020000,176.470588,37.091822,33.181449,0.25,26.666666666666668,40.0
0 days 00:00:59.020000,176.470588,37.092853,33.182746,0.25,26.666666666666668,40.0
0 days 00:01:00.020000,176.470588,37.093884,33.184032,0.25,26.666666666666668,40.0
0 days 00:01:01.020000,176.470588,37.094911,33.185312,0.25,26.666666666666668,40.0
0 days 00:01:02.020000,176.470588,37.095938,33.186595,0.25,26.666666666666668,40.0
0 days 00:01:03.020000,166.666667,37.096964,33.187866,0.25,26.666666666666668,40.0
0 days 00:01:04.020000,176.470588,37.097986,33.189137,0.25,26.666666666666668,40.0
0 days 00:01:05.020000,176.470588,37.099009,33.190405,0.25,26.666666666666668,40.0
0 days 00:01:06.020000,176.470588,37.100029,33.191672,0.25,26.666666666666668,40.0
0 days 00:01:07.020000,187.5,37.101047,33.192928,0.25,26.666666666666668,40.0
0 days 00:01:08.020000,176.470588,37.102064,33.194182,0.25,26.666666666666668,40.0
0 days 00:01:09.020000,176.470588,37.103079,33.195425,0.25,26.666666666666668,40.0
