Time(s),HeartRate(1/min),CoreTemperature(degC),SkinTemperature(degC),intensity,atemp_c,rh_pct
0 days 00:00:01.020000,75.0,37.031065,33.110772,0.25,26.666666666666668,48.888888888888886
0 days 00:00:02.020000,75.0,37.031934,33.111796,0.25,26.666666666666668,48.888888888888886
0 days 00:00:03.020000,76.923077,37.032941,33.112962,0.25,26.666666666666668,48.888888888888886
0 days 00:00:04.020000,78.947368,37.034002,33.114137,0.25,26.666666666666668,48.888888888888886
0 days 00:00:05.020000,83.333333,37.035083,33.115308,0.25,26.666666666666668,48.888888888888886
0 days 00:00:06.020000,85.714286,37.036171,33.116479,0.25,26.666666666666668,48.888888888888886
0 days 00:00:07.020000,90.909091,37.037261,33.11766,0.25,26.666666666666668,48.888888888888886
0 days 00:00:08.020000,90.909091,37.038351,33.118851,0.25,26.666666666666668,48.888888888888886
0 days 00:00:09.020000,93.75,37.039441,33.120042,0.25,26.666666666666668,48.888888888888886
0 days 00:00:10.020000,96.774194,37.040532,33.121231,0.25,26.666666666666668,48.888888888888886
0 days 00:00:11.020000,100.0,37.041622,33.122428,0.25,26.666666666666668,48.888888888888886
0 days 00:00:12.020000,100.0,37.04271,33.123637,0.25,26.666666666666668,48.888888888888886
0 days 00:00:13.020000,103.448276,37.0438,33.12484,0.25,26.666666666666668,48.888888888888886
0 days 00:00:14.020000,103.448276,37.044888,33.126051,0.25,26.666666666666668,48.888888888888886
0 days 00:00:15.020000,107.142857,37.045975,33.127269,0.25,26.666666666666668,48.888888888888886
0 days 00:00:16.020000,107.142857,37.047062,33.1285,0.25,26.666666666666668,48.888888888888886
0 days 00:00:17.020000,107.142857,37.048149,33.129721,0.25,26.666666666666668,48.888888888888886
0 days 00:00:18.020000,111.111111,37.049236,33.130942,0.25,26.666666666666668,48.888888888888886
0 days 00:00:19.020000,111.111111,37.050322,33.132172,0.25,26.666666666666668,48.888888888888886
0 days 00:00:20.020000,111.111111,37.051409,33.133389,0.25,26.666666666666668,48.888888888888886
0 days 00:00:21.020000,111.111111,37.052497,33.134598,0.25,26.666666666666668,48.888888888888886
0 days 00:00:22.020000,115.384615,37.053584,33.135805,0.25,26.666666666666668,48.888888888888886
0 days 00:00:23.020000,115.384615,37.05467,33.137033,0.25,26.666666666666668,48.888888888888886
0 days 00:00:24.020000,115.384615,37.055755,33.138265,0.25,26.666666666666668,48.888888888888886
0 days 00:00:25.020000,115.384615,37.05684,33.139488,0.25,26.666666666666668,48.888888888888886
0 days 00:00:26.020000,115.384615,37.057926,33.140702,0.25,26.666666666666668,48.888888888888886
0 days 00:00:27.020000,115.384615,37.059012,33.141908,0.25,26.666666666666668,48.888888888888886
0 days 00:00:28.020000,120.0,37.060098,33.143112,0.25,26.666666666666668,48.888888888888886
0 days 00:00:29.020000,120.0,37.061181,33.144335,0.25,26.666666666666668,48.888888888888886
0 days 00:00:30.020000,120.0,37.062264,33.145558,0.25,26.666666666666668,48.888888888888886
0 days 00:00:31.020000,120.0,37.063348,33.14677,0.25,26.666666666666668,48.888888888888886
0 days 00:00:32.020000,120.0,37.064431,33.147972,0.25,26.666666666666668,48.888888888888886
0 days 00:00:33.020000,125.0,37.065513,33.149184,0.25,26.666666666666668,48.888888888888886
0 days 00:00:34.020000,125.0,37.066592,33.150419,0.25,26.666666666666668,48.888888888888886
0 days 00:00:35.020000,125.0,37.06767,33.151651,0.25,26.666666666666668,48.888888888888886
0 days 00:00:36.020000,130.434783,37.068746,33.152891,0.25,26.666666666666668,48.888888888888886
0 days 00:00:37.020000,130.434783,37.069821,33.154144,0.25,26.666666666666668,48.888888888888886
0 days 00:00:38.020000,136.363636,37.070896,33.155387,0.25,26.666666666666668,48.888888888888886
0 days 00:00:39.020000,136.363636,37.071966,33.156651,0.25,26.666666666666668,48.888888888888886
0 days 00:00:40.020000,136.363636,37.073035,33.157919,0.25,26.666666666666668,48.888888888888886
0 days 00:00:41.020000,142.857143,37.074105,33.159189,0.25,26.666666666666668,48.888888888888886
0 days 00:00:42.020000,142.857143,37.075169,33.160477,0.25,26.666666666666668,48.888888888888886
0 days 00:00:43.020000,150.0,37.076233,33.161754,0.25,26.666666666666668,48.888888888888886
0 days 00:00:44.020000,150.0,37.077295,33.163051,0.25,26.666666666666668,48.888888888888886
0 days 00:00:45.020000,150.0,37.078355,33.164349,0.25,26.666666666666668,48.888888888888886
0 days 00:00:46.020000,157.894737,37.07941,33.165666,0.25,26.666666666666668,48.888888888888886
