Time(s),HeartRate(1/min),CoreTemperature(degC),SkinTemperature(degC),atemp_c,rh_pct,intensity
0 days 00:00:01.020000,150.90817376666666,37.10085741666667,33.158212033333335,23.333333333333332,48.888888888888886,0.5847222222222221
0 days 00:01:01.020000,187.5,37.24798476666667,33.224633716666666,23.333333333333332,48.888888888888886,0.6638888888888889
0 days 00:02:01.020000,187.5,37.383986316666665,33.213947733333335,23.333333333333332,48.888888888888886,0.5069444444444444
0 days 00:03:01.020000,187.5,37.54879535,33.14799355,23.333333333333332,48.888888888888886,0.9125
0 days 00:04:01.020000,187.5,37.73298126666667,33.00924288333333,23.333333333333332,48.888888888888886,0.6638888888888889
0 days 00:05:01.020000,187.5,37.866633066666665,32.7748378,23.333333333333332,48.888888888888886,0.5069444444444444
0 days 00:06:01.020000,187.5,38.02733391666666,32.50064145,23.333333333333332,48.888888888888886,0.9138888888888889
0 days 00:07:01.020000,187.5,38.21546118333333,32.177254999999995,23.333333333333332,48.888888888888886,0.7513888888888889
0 days 00:08:01.020000,187.5,38.39060353333333,31.780890183333334,23.333333333333332,48.888888888888886,0.8236111111111111
0 days 00:09:01.020000,170.15522883333333,38.506644083333335,31.293350649999997,23.333333333333332,48.888888888888886,0.25
