Time(s),HeartRate(1/min),CoreTemperature(degC),SkinTemperature(degC),intensity,atemp_c,rh_pct
0 days 00:00:01.020000,75.0,37.031562,33.110854,0.5833333333333333,27.77777777777778,57.77777777777778
0 days 00:00:02.020000,76.923077,37.033443,33.112363,0.5833333333333333,27.77777777777778,57.77777777777778
0 days 00:00:03.020000,78.947368,37.035652,33.114112,0.5833333333333333,27.77777777777778,57.77777777777778
0 days 00:00:04.020000,83.333333,37.037989,33.115861,0.5833333333333333,27.77777777777778,57.77777777777778
0 days 00:00:05.020000,85.714286,37.040375,33.117598,0.5833333333333333,27.77777777777778,57.77777777777778
0 days 00:00:06.020000,88.235294,37.042777,33.11933,0.5833333333333333,27.77777777777778,57.77777777777778
0 days 00:00:07.020000,90.909091,37.045186,33.121064,0.5833333333333333,27.77777777777778,57.77777777777778
0 days 00:00:08.020000,93.75,37.047597,33.122793,0.5833333333333333,27.77777777777778,57.77777777777778
0 days 00:00:09.020000,96.774194,37.050008,33.124543,0.5833333333333333,27.77777777777778,57.77777777777778
0 days 00:00:10.020000,100.0,37.052416,33.126308,0.5833333333333333,27.77777777777778,57.77777777777778
0 days 00:00:11.020000,103.448276,37.054823,33.128091,0.5833333333333333,27.77777777777778,57.77777777777778
0 days 00:00:12.020000,103.448276,37.057229,33.129887,0.5833333333333333,27.77777777777778,57.77777777777778
0 days 00:00:13.020000,107.142857,37.059633,33.131695,0.5833333333333333,27.77777777777778,57.77777777777778
0 days 00:00:14.020000,107.142857,37.062035,33.133524,0.5833333333333333,27.77777777777778,57.77777777777778
0 days 00:00:15.020000,111.111111,37.064435,33.135373,0.5833333333333333,27.77777777777778,57.77777777777778
0 days 00:00:16.020000,115.384615,37.066833,33.137233,0.5833333333333333,27.77777777777778,57.77777777777778
0 days 00:00:17.020000,115.384615,37.069229,33.139123,0.5833333333333333,27.77777777777778,57.77777777777778
0 days 00:00:18.020000,115.384615,37.071623,33.141014,0.5833333333333333,27.77777777777778,57.77777777777778
0 days 00:00:19.020000,120.0,37.074017,33.142908,0.5833333333333333,27.77777777777778,57.77777777777778
0 days 00:00:20.020000,120.0,37.07641,33.144819,0.5833333333333333,27.77777777777778,57.77777777777778
0 days 00:00:21.020000,125.0,37.078799,33.146734,0.5833333333333333,27.77777777777778,57.77777777777778
0 days 00:00:22.020000,130.434783,37.081185,33.148682,0.5833333333333333,27.77777777777778,57.77777777777778
0 days 00:00:23.020000,130.434783,37.083568,33.150659,0.5833333333333333,27.77777777777778,57.77777777777778
0 days 00:00:24.020000,136.363636,37.085951,33.152625,0.5833333333333333,27.77777777777778,57.77777777777778
0 days 00:00:25.020000,136.363636,37.088328,33.154614,0.5833333333333333,27.77777777777778,57.77777777777778
0 days 00:00:26.020000,142.857143,37.090703,33.156631,0.5833333333333333,27.77777777777778,57.77777777777778
0 days 00:00:27.020000,150.0,37.093075,33.158679,0.5833333333333333,27.77777777777778,57.77777777777778
0 days 00:00:28.020000,157.894737,37.095439,33.160753,0.5833333333333333,27.77777777777778,57.77777777777778
0 days 00:00:29.020000,166.666667,37.097801,33.162842,0.5833333333333333,27.77777777777778,57.77777777777778
0 days 00:00:30.020000,176.470588,37.100164,33.164926,0.5833333333333333,27.77777777777778,57.77777777777778
0 days 00:00:31.020000,176.470588,37.102518,33.167029,0.5833333333333333,27.77777777777778,57.77777777777778
0 days 00:00:32.020000,187.5,37.104871,33.169109,0.5833333333333333,27.77777777777778,57.77777777777778
0 days 00:00:33.020000,187.5,37.107223,33.171177,0.5833333333333333,27.77777777777778,57.77777777777778
0 days 00:00:34.020000,187.5,37.109572,33.173193,0.5833333333333333,27.77777777777778,57.77777777777778
0 days 00:00:35.020000,187.5,37.111922,33.17516,0.5833333333333333,27.77777777777778,57.77777777777778
0 days 00:00:36.020000,187.5,37.114274,33.177082,0.5833333333333333,27.77777777777778,57.77777777777778
0 days 00:00:37.020000,187.5,37.116621,33.178962,0.5833333333333333,27.77777777777778,57.77777777777778
0 days 00:00:38.020000,187.5,37.118967,33.180805,0.5833333333333333,27.77777777777778,57.77777777777778
0 days 00:00:39.020000,187.5,37.121314,33.182614,0.5833333333333333,27.77777777777778,57.77777777777778
0 days 00:00:40.020000,187.5,37.123653,33.18439,0.5833333333333333,27.77777777777778,57.77777777777778
0 days 00:00:41.020000,187.5,37.125992,33.186136,0.5833333333333333,27.77777777777778,57.77777777777778
0 days 00:00:42.020000,187.5,37.128331,33.187853,0.5833333333333333,27.77777777777778,57.77777777777778
0 days 00:00:43.020000,187.5,37.130659,33.189542,0.5833333333333333,27.77777777777778,57.77777777777778
0 days 00:00:44.020000,187.5,37.132988,33.191204,0.5833333333333333,27.77777777777778,57.77777777777778
0 days 00:00:45.020000,187.5,37.135315,33.19284,0.5833333333333333,27.77777777777778,57.77777777777778
0 days 00:00:46.020000,187.5,37.137633,33.194451,0.5833333333333333,27.77777777777778,57.77777777777778
0 days 00:00:47.020000,187.5,37.139952,33.196037,0.5833333333333333,27.77777777777778,57.77777777777778
0 days 00:00:48.020000,187.5,37.142265,33.197599,0.5833333333333333,27.77777777777778,57.77777777777778
0 days 00:00:49.020000,187.5,37.144573,33.199136,0.5833333333333333,27.77777777777778,57.77777777777778
0 days 00:00:50.020000,187.5,37.146881,33.20065,0.5833333333333333,27.77777777777778,57.77777777777778
0 days 00:00:51.020000,187.5,37.149181,33.20214,0.5833333333333333,27.77777777777778,57.77777777777778
0 days 00:00:52.020000,187.5,37.15148,33.203608,0.5833333333333333,27.77777777777778,57.77777777777778
0 days 00:00:53.020000,187.5,37.153777,33.205053,0.5833333333333333,27.77777777777778,57.77777777777778
0 days 00:00:54.020000,187.5,37.156067,33.206475,0.5833333333333333,27.77777777777778,57.77777777777778
0 days 00:00:55.020000,187.5,37.158357,33.207874,0.5833333333333333,27.77777777777778,57.77777777777778
0 days 00:00:56.020000,187.5,37.160644,33.209252,0.5833333333333333,27.77777777777778,57.77777777777778
0 days 00:00:57.020000,187.5,37.162926,33.210608,0.5833333333333333,27.77777777777778,57.77777777777778
