Time(s),HeartRate(1/min),CoreTemperature(degC),SkinTemperature(degC),atemp_c,rh_pct,intensity
0 days 00:00:01.020000,149.63539395,37.091263649999995,33.16462646666667,30.0,40.0,0.4972222222222222
0 days 00:01:01.020000,181.1070260333333,37.190356816666664,33.2433306,30.0,40.0,0.3416666666666667
0 days 00:02:01.020000,187.5,37.326355150000005,33.284072566666666,30.0,40.0,0.8319444444444444
0 days 00:03:01.020000,187.5,37.51111711666667,33.2638808,30.0,40.0,0.7416666666666667
0 days 00:04:01.020000,172.0577486,37.62764118333333,33.138825833333335,30.0,40.0,0.2625
0 days 00:05:01.020000,187.31617646666666,37.770591233333334,32.98463906666667,30.0,40.0,1.0
0 days 00:06:01.020000,187.5,38.000343433333335,32.79166515,30.0,40.0,0.9930555555555556
0 days 00:07:01.020000,187.5,38.1802269,32.48300353333333,30.0,40.0,0.5791666666666665
0 days 00:08:01.020000,187.31617646666666,38.280861849999994,32.0717228,30.0,40.0,0.33194444444444443
0 days 00:09:01.020000,187.5,38.34098675,31.61187848333333,30.0,40.0,0.25
