Time(s),HeartRate(1/min),CoreTemperature(degC),SkinTemperature(degC),atemp_c,rh_pct,intensity
0 days 00:00:01.020000,127.0920033,37.06265665,33.14985848333333,28.88888888888889,44.44444444444444,0.2569444444444444
0 days 00:01:01.020000,186.76470586666667,37.17244471666667,33.240145483333336,28.88888888888889,44.44444444444444,0.6597222222222221
0 days 00:02:01.020000,168.57370151666666,37.28017663333333,33.27519761666667,28.88888888888889,44.44444444444444,0.2569444444444444
0 days 00:03:01.020000,186.76470586666667,37.38725528333334,33.26421533333333,28.88888888888889,44.44444444444444,0.6708333333333333
0 days 00:04:01.020000,187.5,37.571839966666666,33.2129105,28.88888888888889,44.44444444444444,0.9083333333333333
0 days 00:05:01.020000,187.5,37.72701743333334,33.06672341666667,28.88888888888889,44.44444444444444,0.42499999999999993
0 days 00:06:01.020000,187.5,37.87984516666667,32.859866016666665,28.88888888888889,44.44444444444444,0.9111111111111111
0 days 00:07:01.020000,187.5,38.05125423333333,32.59402631666667,28.88888888888889,44.44444444444444,0.5847222222222221
0 days 00:08:01.020000,187.5,38.19135171666667,32.24980648333334,28.88888888888889,44.44444444444444,0.6722222222222222
0 days 00:09:01.020000,187.5,38.37708238333333,31.880611016666666,28.88888888888889,44.44444444444444,1.0
