Time(s),HeartRate(1/min),CoreTemperature(degC),SkinTemperature(degC),intensity,atemp_c,rh_pct
0 days 00:00:01.020000,75.0,37.031191,33.11067,0.3333333333333333,24.444444444444443,62.22222222222222
0 days 00:00:02.020000,75.0,37.032315,33.111696,0.3333333333333333,24.444444444444443,62.22222222222222
0 days 00:00:03.020000,76.923077,37.033623,33.112894,0.3333333333333333,24.444444444444443,62.22222222222222
0 days 00:00:04.020000,78.947368,37.035004,33.114095,0.3333333333333333,24.444444444444443,62.22222222222222
0 days 00:00:05.020000,85.714286,37.03641,33.115309,0.3333333333333333,24.444444444444443,62.22222222222222
0 days 00:00:06.020000,85.714286,37.037827,33.116525,0.3333333333333333,24.444444444444443,62.22222222222222
0 days 00:00:07.020000,90.909091,37.039248,33.117726,0.3333333333333333,24.444444444444443,62.22222222222222
0 days 00:00:08.020000,93.75,37.040668,33.118942,0.3333333333333333,24.444444444444443,62.22222222222222
0 days 00:00:09.020000,96.774194,37.042089,33.120165,0.3333333333333333,24.444444444444443,62.22222222222222
0 days 00:00:10.020000,96.774194,37.043509,33.121392,0.3333333333333333,24.444444444444443,62.22222222222222
0 days 00:00:11.020000,100.0,37.044928,33.12263,0.3333333333333333,24.444444444444443,62.22222222222222
0 days 00:00:12.020000,103.448276,37.046347,33.123877,0.3333333333333333,24.444444444444443,62.22222222222222
0 days 00:00:13.020000,103.448276,37.047764,33.125129,0.3333333333333333,24.444444444444443,62.22222222222222
0 days 00:00:14.020000,107.142857,37.049181,33.126392,0.3333333333333333,24.444444444444443,62.22222222222222
0 days 00:00:15.020000,111.111111,37.050597,33.127661,0.3333333333333333,24.444444444444443,62.22222222222222
0 days 00:00:16.020000,111.111111,37.052011,33.128942,0.3333333333333333,24.444444444444443,62.22222222222222
0 days 00:00:17.020000,111.111111,37.053427,33.130213,0.3333333333333333,24.444444444444443,62.22222222222222
0 days 00:00:18.020000,115.384615,37.054842,33.131481,0.3333333333333333,24.444444444444443,62.22222222222222
0 days 00:00:19.020000,115.384615,37.056255,33.132771,0.3333333333333333,24.444444444444443,62.22222222222222
0 days 00:00:20.020000,115.384615,37.057669,33.134056,0.3333333333333333,24.444444444444443,62.22222222222222
0 days 00:00:21.020000,120.0,37.059083,33.135331,0.3333333333333333,24.444444444444443,62.22222222222222
0 days 00:00:22.020000,120.0,37.060495,33.136623,0.3333333333333333,24.444444444444443,62.22222222222222
0 days 00:00:23.020000,120.0,37.061908,33.137911,0.3333333333333333,24.444444444444443,62.22222222222222
0 days 00:00:24.020000,120.0,37.063322,33.139183,0.3333333333333333,24.444444444444443,62.22222222222222
0 days 00:00:25.020000,125.0,37.064733,33.140461,0.3333333333333333,24.444444444444443,62.22222222222222
0 days 00:00:26.020000,125.0,37.066142,33.141764,0.3333333333333333,24.444444444444443,62.22222222222222
0 days 00:00:27.020000,125.0,37.067552,33.143061,0.3333333333333333,24.444444444444443,62.22222222222222
0 days 00:00:28.020000,130.434783,37.068959,33.14436,0.3333333333333333,24.444444444444443,62.22222222222222
0 days 00:00:29.020000,130.434783,37.070365,33.145674,0.3333333333333333,24.444444444444443,62.22222222222222
0 days 00:00:30.020000,136.363636,37.071772,33.146973,0.3333333333333333,24.444444444444443,62.22222222222222
0 days 00:00:31.020000,136.363636,37.073176,33.148295,0.3333333333333333,24.444444444444443,62.22222222222222
0 days 00:00:32.020000,142.857143,37.074576,33.149627,0.3333333333333333,24.444444444444443,62.22222222222222
0 days 00:00:33.020000,142.857143,37.075974,33.15098,0.3333333333333333,24.444444444444443,62.22222222222222
