Time(s),HeartRate(1/min),CoreTemperature(degC),SkinTemperature(degC),intensity,atemp_c,rh_pct
0 days 00:00:01.020000,75.0,37.031567,33.110964,0.5833333333333333,30.0,80.0
0 days 00:00:02.020000,76.923077,37.033453,33.112583,0.5833333333333333,30.0,80.0
0 days 00:00:03.020000,78.947368,37.035667,33.114441,0.5833333333333333,30.0,80.0
0 days 00:00:04.020000,83.333333,37.038009,33.1163,0.5833333333333333,30.0,80.0
0 days 00:00:05.020000,85.714286,37.040399,33.118146,0.5833333333333333,30.0,80.0
0 days 00:00:06.020000,88.235294,37.042807,33.119988,0.5833333333333333,30.0,80.0
0 days 00:00:07.020000,90.909091,37.045221,33.121832,0.5833333333333333,30.0,80.0
0 days 00:00:08.020000,93.75,37.047637,33.12367,0.5833333333333333,30.0,80.0
0 days 00:00:09.020000,96.774194,37.050052,33.125529,0.5833333333333333,30.0,80.0
0 days 00:00:10.020000,100.0,37.052466,33.127403,0.5833333333333333,30.0,80.0
0 days 00:00:11.020000,103.448276,37.054878,33.129295,0.5833333333333333,30.0,80.0
0 days 00:00:12.020000,103.448276,37.057288,33.1312,0.5833333333333333,30.0,80.0
0 days 00:00:13.020000,107.142857,37.059698,33.133117,0.5833333333333333,30.0,80.0
0 days 00:00:14.020000,107.142857,37.062105,33.135054,0.5833333333333333,30.0,80.0
0 days 00:00:15.020000,111.111111,37.06451,33.137012,0.5833333333333333,30.0,80.0
0 days 00:00:16.020000,115.384615,37.066914,33.13898,0.5833333333333333,30.0,80.0
0 days 00:00:17.020000,115.384615,37.069314,33.14098,0.5833333333333333,30.0,80.0
0 days 00:00:18.020000,115.384615,37.071714,33.142978,0.5833333333333333,30.0,80.0
0 days 00:00:19.020000,120.0,37.074113,33.144981,0.5833333333333333,30.0,80.0
0 days 00:00:20.020000,120.0,37.076511,33.147,0.5833333333333333,30.0,80.0
0 days 00:00:21.020000,125.0,37.078906,33.149022,0.5833333333333333,30.0,80.0
