Time(s),HeartRate(1/min),CoreTemperature(degC),SkinTemperature(degC),atemp_c,rh_pct,intensity
0 days 00:00:01.020000,149.63539395,37.09128811666667,33.16297435,28.88888888888889,44.44444444444444,0.5
0 days 00:01:01.020000,187.5,37.20974351666667,33.24278655,28.88888888888889,44.44444444444444,0.4972222222222222
0 days 00:02:01.020000,187.5,37.30731355,33.2579832,28.88888888888889,44.44444444444444,0.3416666666666667
0 days 00:03:01.020000,187.5,37.4433633,33.23834273333333,28.88888888888889,44.44444444444444,0.8333333333333333
0 days 00:04:01.020000,187.5,37.63751928333333,33.16358948333333,28.88888888888889,44.44444444444444,0.8319444444444444
0 days 00:05:01.020000,187.5,37.82076921666667,32.99825871666666,28.88888888888889,44.44444444444444,0.7458333333333333
0 days 00:06:01.020000,187.5,37.96396623333333,32.74245378333333,28.88888888888889,44.44444444444444,0.4986111111111111
0 days 00:07:01.020000,187.5,38.066766550000004,32.4165342,28.88888888888889,44.44444444444444,0.42361111111111105
0 days 00:08:01.020000,187.5,38.20561578333333,32.07519465,28.88888888888889,44.44444444444444,0.836111111111111
0 days 00:09:01.020000,187.5,38.40931155,31.720314483333333,28.88888888888889,44.44444444444444,1.0
