Time(s),HeartRate(1/min),CoreTemperature(degC),SkinTemperature(degC),intensity,atemp_c,rh_pct
0 days 00:00:01.020000,75.0,37.03218,33.110885,1.0,27.77777777777778,48.888888888888886
0 days 00:00:02.020000,78.947368,37.035328,33.11285,1.0,27.77777777777778,48.888888888888886
0 days 00:00:03.020000,78.947368,37.039051,33.115105,1.0,27.77777777777778,48.888888888888886
0 days 00:00:04.020000,83.333333,37.042996,33.117336,1.0,27.77777777777778,48.888888888888886
0 days 00:00:05.020000,85.714286,37.047024,33.119544,1.0,27.77777777777778,48.888888888888886
0 days 00:00:06.020000,88.235294,37.051082,33.121744,1.0,27.77777777777778,48.888888888888886
0 days 00:00:07.020000,93.75,37.055149,33.123955,1.0,27.77777777777778,48.888888888888886
0 days 00:00:08.020000,93.75,37.059219,33.12618,1.0,27.77777777777778,48.888888888888886
0 days 00:00:09.020000,96.774194,37.063288,33.128416,1.0,27.77777777777778,48.888888888888886
0 days 00:00:10.020000,100.0,37.067356,33.130678,1.0,27.77777777777778,48.888888888888886
0 days 00:00:11.020000,103.448276,37.071419,33.132975,1.0,27.77777777777778,48.888888888888886
0 days 00:00:12.020000,107.142857,37.075479,33.135311,1.0,27.77777777777778,48.888888888888886
0 days 00:00:13.020000,107.142857,37.079534,33.137693,1.0,27.77777777777778,48.888888888888886
0 days 00:00:14.020000,111.111111,37.083586,33.140104,1.0,27.77777777777778,48.888888888888886
0 days 00:00:15.020000,111.111111,37.087635,33.142543,1.0,27.77777777777778,48.888888888888886
0 days 00:00:16.020000,115.384615,37.091683,33.144989,1.0,27.77777777777778,48.888888888888886
0 days 00:00:17.020000,115.384615,37.095724,33.147484,1.0,27.77777777777778,48.888888888888886
0 days 00:00:18.020000,120.0,37.099761,33.150017,1.0,27.77777777777778,48.888888888888886
0 days 00:00:19.020000,125.0,37.103795,33.152557,1.0,27.77777777777778,48.888888888888886
0 days 00:00:20.020000,130.434783,37.107822,33.155119,1.0,27.77777777777778,48.888888888888886
0 days 00:00:21.020000,136.363636,37.111839,33.157708,1.0,27.77777777777778,48.888888888888886
0 days 00:00:22.020000,142.857143,37.115851,33.160314,1.0,27.77777777777778,48.888888888888886
0 days 00:00:23.020000,150.0,37.119859,33.162917,1.0,27.77777777777778,48.888888888888886
0 days 00:00:24.020000,157.894737,37.123858,33.165512,1.0,27.77777777777778,48.888888888888886
0 days 00:00:25.020000,166.666667,37.12785,33.16814,1.0,27.77777777777778,48.888888888888886
0 days 00:00:26.020000,176.470588,37.131837,33.170789,1.0,27.77777777777778,48.888888888888886
0 days 00:00:27.020000,187.5,37.135815,33.173407,1.0,27.77777777777778,48.888888888888886
0 days 00:00:28.020000,187.5,37.13979,33.176007,1.0,27.77777777777778,48.888888888888886
0 days 00:00:29.020000,187.5,37.143769,33.178524,1.0,27.77777777777778,48.888888888888886
0 days 00:00:30.020000,187.5,37.147743,33.180962,1.0,27.77777777777778,48.888888888888886
0 days 00:00:31.020000,187.5,37.151718,33.183332,1.0,27.77777777777778,48.888888888888886
0 days 00:00:32.020000,187.5,37.155696,33.18564,1.0,27.77777777777778,48.888888888888886
0 days 00:00:33.020000,187.5,37.159663,33.187893,1.0,27.77777777777778,48.888888888888886
0 days 00:00:34.020000,187.5,37.16363,33.190096,1.0,27.77777777777778,48.888888888888886
0 days 00:00:35.020000,187.5,37.167597,33.192251,1.0,27.77777777777778,48.888888888888886
0 days 00:00:36.020000,187.5,37.17155,33.194362,1.0,27.77777777777778,48.888888888888886
0 days 00:00:37.020000,187.5,37.175504,33.19643,1.0,27.77777777777778,48.888888888888886
0 days 00:00:38.020000,187.5,37.179452,33.198458,1.0,27.77777777777778,48.888888888888886
0 days 00:00:39.020000,187.5,37.183391,33.200446,1.0,27.77777777777778,48.888888888888886
0 days 00:00:40.020000,187.5,37.18733,33.202395,1.0,27.77777777777778,48.888888888888886
0 days 00:00:41.020000,187.5,37.191258,33.204306,1.0,27.77777777777778,48.888888888888886
0 days 00:00:42.020000,187.5,37.195181,33.20618,1.0,27.77777777777778,48.888888888888886
0 days 00:00:43.020000,187.5,37.199103,33.208017,1.0,27.77777777777778,48.888888888888886
0 days 00:00:44.020000,187.5,37.203012,33.209818,1.0,27.77777777777778,48.888888888888886
0 days 00:00:45.020000,187.5,37.206921,33.211582,1.0,27.77777777777778,48.888888888888886
0 days 00:00:46.020000,187.5,37.210824,33.213311,1.0,27.77777777777778,48.888888888888886
0 days 00:00:47.020000,187.5,37.214721,33.215005,1.0,27.77777777777778,48.888888888888886
0 days 00:00:48.020000,187.5,37.218618,33.216663,1.0,27.77777777777778,48.888888888888886
0 days 00:00:49.020000,187.5,37.222508,33.218287,1.0,27.77777777777778,48.888888888888886
0 days 00:00:50.020000,187.5,37.226398,33.219876,1.0,27.77777777777778,48.888888888888886
0 days 00:00:51.020000,187.5,37.230287,33.22143,1.0,27.77777777777778,48.888888888888886
0 days 00:00:52.020000,187.5,37.234173,33.222951,1.0,27.77777777777778,48.888888888888886
0 days 00:00:53.020000,187.5,37.238059,33.224437,1.0,27.77777777777778,48.888888888888886
0 days 00:00:54.020000,187.5,37.241943,33.22589,1.0,27.77777777777778,48.888888888888886
0 days 00:00:55.020000,187.5,37.245827,33.227309,1.0,27.77777777777778,48.888888888888886
