Time(s),HeartRate(1/min),CoreTemperature(degC),SkinTemperature(degC),intensity,atemp_c,rh_pct
0 days 00:00:01.020000,75.0,37.031688,33.110533,0.6666666666666666,21.11111111111111,71.11111111111111
0 days 00:00:02.020000,76.923077,37.033823,33.11181,0.6666666666666666,21.11111111111111,71.11111111111111
0 days 00:00:03.020000,78.947368,37.036336,33.113339,0.6666666666666666,21.11111111111111,71.11111111111111
0 days 00:00:04.020000,83.333333,37.038996,33.114867,0.6666666666666666,21.11111111111111,71.11111111111111
0 days 00:00:05.020000,85.714286,37.041711,33.116381,0.6666666666666666,21.11111111111111,71.11111111111111
0 days 00:00:06.020000,88.235294,37.044445,33.117891,0.6666666666666666,21.11111111111111,71.11111111111111
0 days 00:00:07.020000,90.909091,37.047187,33.119403,0.6666666666666666,21.11111111111111,71.11111111111111
0 days 00:00:08.020000,93.75,37.049931,33.120911,0.6666666666666666,21.11111111111111,71.11111111111111
0 days 00:00:09.020000,96.774194,37.052674,33.122443,0.6666666666666666,21.11111111111111,71.11111111111111
0 days 00:00:10.020000,100.0,37.055415,33.123993,0.6666666666666666,21.11111111111111,71.11111111111111
0 days 00:00:11.020000,103.448276,37.058153,33.125566,0.6666666666666666,21.11111111111111,71.11111111111111
0 days 00:00:12.020000,103.448276,37.060891,33.127154,0.6666666666666666,21.11111111111111,71.11111111111111
0 days 00:00:13.020000,107.142857,37.063626,33.128759,0.6666666666666666,21.11111111111111,71.11111111111111
0 days 00:00:14.020000,107.142857,37.066359,33.130388,0.6666666666666666,21.11111111111111,71.11111111111111
0 days 00:00:15.020000,111.111111,37.069089,33.132042,0.6666666666666666,21.11111111111111,71.11111111111111
0 days 00:00:16.020000,115.384615,37.071818,33.133709,0.6666666666666666,21.11111111111111,71.11111111111111
0 days 00:00:17.020000,115.384615,37.074543,33.135413,0.6666666666666666,21.11111111111111,71.11111111111111
0 days 00:00:18.020000,120.0,37.077267,33.13712,0.6666666666666666,21.11111111111111,71.11111111111111
0 days 00:00:19.020000,120.0,37.079987,33.138856,0.6666666666666666,21.11111111111111,71.11111111111111
0 days 00:00:20.020000,125.0,37.082709,33.140583,0.6666666666666666,21.11111111111111,71.11111111111111
0 days 00:00:21.020000,125.0,37.085424,33.142344,0.6666666666666666,21.11111111111111,71.11111111111111
0 days 00:00:22.020000,130.434783,37.088136,33.144131,0.6666666666666666,21.11111111111111,71.11111111111111
0 days 00:00:23.020000,136.363636,37.090847,33.145937,0.6666666666666666,21.11111111111111,71.11111111111111
0 days 00:00:24.020000,136.363636,37.093552,33.147763,0.6666666666666666,21.11111111111111,71.11111111111111
0 days 00:00:25.020000,142.857143,37.096253,33.14962,0.6666666666666666,21.11111111111111,71.11111111111111
0 days 00:00:26.020000,150.0,37.098954,33.151482,0.6666666666666666,21.11111111111111,71.11111111111111
0 days 00:00:27.020000,157.894737,37.101647,33.153393,0.6666666666666666,21.11111111111111,71.11111111111111
0 days 00:00:28.020000,166.666667,37.104334,33.155301,0.6666666666666666,21.11111111111111,71.11111111111111
0 days 00:00:29.020000,176.470588,37.10702,33.1572,0.6666666666666666,21.11111111111111,71.11111111111111
0 days 00:00:30.020000,176.470588,37.109702,33.159103,0.6666666666666666,21.11111111111111,71.11111111111111
0 days 00:00:31.020000,187.5,37.112376,33.16099,0.6666666666666666,21.11111111111111,71.11111111111111
0 days 00:00:32.020000,187.5,37.115052,33.162838,0.6666666666666666,21.11111111111111,71.11111111111111
0 days 00:00:33.020000,187.5,37.117731,33.164626,0.6666666666666666,21.11111111111111,71.11111111111111
0 days 00:00:34.020000,187.5,37.120404,33.16636,0.6666666666666666,21.11111111111111,71.11111111111111
0 days 00:00:35.020000,187.5,37.123079,33.168045,0.6666666666666666,21.11111111111111,71.11111111111111
0 days 00:00:36.020000,187.5,37.125756,33.169687,0.6666666666666666,21.11111111111111,71.11111111111111
0 days 00:00:37.020000,187.5,37.128425,33.171289,0.6666666666666666,21.11111111111111,71.11111111111111
0 days 00:00:38.020000,187.5,37.131094,33.172854,0.6666666666666666,21.11111111111111,71.11111111111111
0 days 00:00:39.020000,187.5,37.133763,33.174384,0.6666666666666666,21.11111111111111,71.11111111111111
0 days 00:00:40.020000,187.5,37.136422,33.175881,0.6666666666666666,21.11111111111111,71.11111111111111
