Time(s),HeartRate(1/min),CoreTemperature(degC),SkinTemperature(degC),atemp_c,rh_pct,intensity
0 days 00:00:01.020000,149.63539395,37.0913918,33.151504949999996,21.11111111111111,66.66666666666667,0.4986111111111111
0 days 00:01:01.020000,187.5,37.20065638333333,33.2070864,21.11111111111111,66.66666666666667,0.41666666666666663
0 days 00:02:01.020000,187.5,37.29872623333333,33.206018549999996,21.11111111111111,66.66666666666667,0.4208333333333333
0 days 00:03:01.020000,187.5,37.42586983333333,33.1634514,21.11111111111111,66.66666666666667,0.6666666666666666
0 days 00:04:01.020000,187.5,37.582217750000005,33.0647163,21.11111111111111,66.66666666666667,0.6680555555555555
0 days 00:05:01.020000,187.5,37.74680873333333,32.89893223333333,21.11111111111111,66.66666666666667,0.7416666666666667
0 days 00:06:01.020000,172.2415721333333,37.86174355,32.64804441666667,21.11111111111111,66.66666666666667,0.25833333333333336
0 days 00:07:01.020000,187.31617646666666,37.973395933333336,32.36545721666667,21.11111111111111,66.66666666666667,0.7513888888888889
0 days 00:08:01.020000,187.5,38.151474183333335,32.0628215,21.11111111111111,66.66666666666667,0.8249999999999998
0 days 00:09:01.020000,184.92647053333334,38.280084333333335,31.66869805,21.11111111111111,66.66666666666667,0.3333333333333333
