Time(s),HeartRate(1/min),CoreTemperature(degC),SkinTemperature(degC),intensity,atemp_c,rh_pct
0 days 00:00:01.020000,75.0,37.031066,33.110445,0.25,20.0,62.22222222222222
0 days 00:00:02.020000,75.0,37.031937,33.111143,0.25,20.0,62.22222222222222
0 days 00:00:03.020000,76.923077,37.032945,33.111983,0.25,20.0,62.22222222222222
0 days 00:00:04.020000,78.947368,37.034007,33.112832,0.25,20.0,62.22222222222222
0 days 00:00:05.020000,83.333333,37.03509,33.113677,0.25,20.0,62.22222222222222
0 days 00:00:06.020000,85.714286,37.03618,33.114522,0.25,20.0,62.22222222222222
0 days 00:00:07.020000,90.909091,37.037271,33.115378,0.25,20.0,62.22222222222222
0 days 00:00:08.020000,90.909091,37.038362,33.116244,0.25,20.0,62.22222222222222
0 days 00:00:09.020000,93.75,37.039454,33.11711,0.25,20.0,62.22222222222222
0 days 00:00:10.020000,96.774194,37.040546,33.117975,0.25,20.0,62.22222222222222
0 days 00:00:11.020000,100.0,37.041637,33.118847,0.25,20.0,62.22222222222222
0 days 00:00:12.020000,100.0,37.042727,33.119732,0.25,20.0,62.22222222222222
0 days 00:00:13.020000,103.448276,37.043817,33.120611,0.25,20.0,62.22222222222222
0 days 00:00:14.020000,103.448276,37.044907,33.121499,0.25,20.0,62.22222222222222
0 days 00:00:15.020000,107.142857,37.045995,33.122393,0.25,20.0,62.22222222222222
0 days 00:00:16.020000,107.142857,37.047083,33.123301,0.25,20.0,62.22222222222222
0 days 00:00:17.020000,107.142857,37.048171,33.1242,0.25,20.0,62.22222222222222
0 days 00:00:18.020000,111.111111,37.049259,33.125098,0.25,20.0,62.22222222222222
0 days 00:00:19.020000,111.111111,37.050346,33.126005,0.25,20.0,62.22222222222222
0 days 00:00:20.020000,111.111111,37.051435,33.1269,0.25,20.0,62.22222222222222
0 days 00:00:21.020000,111.111111,37.052523,33.127788,0.25,20.0,62.22222222222222
0 days 00:00:22.020000,115.384615,37.053612,33.128673,0.25,20.0,62.22222222222222
