Time(s),HeartRate(1/min),CoreTemperature(degC),SkinTemperature(degC),intensity,atemp_c,rh_pct
0 days 00:00:01.020000,75.0,37.031935,33.110492,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:02.020000,76.923077,37.034579,33.111893,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:03.020000,78.947368,37.037698,33.113565,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:04.020000,83.333333,37.041002,33.115235,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:05.020000,85.714286,37.044373,33.116888,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:06.020000,88.235294,37.04777,33.118536,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:07.020000,93.75,37.051174,33.120194,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:08.020000,93.75,37.05458,33.121865,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:09.020000,96.774194,37.057987,33.123542,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:10.020000,100.0,37.061392,33.125239,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:11.020000,103.448276,37.064793,33.126966,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:12.020000,103.448276,37.068193,33.128714,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:13.020000,107.142857,37.07159,33.130488,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:14.020000,111.111111,37.074981,33.132311,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:15.020000,111.111111,37.07837,33.134163,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:16.020000,115.384615,37.081759,33.136016,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:17.020000,115.384615,37.085142,33.13791,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:18.020000,120.0,37.088521,33.139837,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:19.020000,120.0,37.091899,33.141779,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:20.020000,125.0,37.095275,33.14373,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:21.020000,130.434783,37.098644,33.145717,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:22.020000,136.363636,37.102009,33.147739,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:23.020000,142.857143,37.105369,33.149787,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:24.020000,150.0,37.10872,33.151844,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:25.020000,157.894737,37.112069,33.153892,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:26.020000,166.666667,37.115411,33.155976,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:27.020000,176.470588,37.118747,33.158044,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:28.020000,176.470588,37.122077,33.160113,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:29.020000,187.5,37.125406,33.162157,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:30.020000,187.5,37.128733,33.164154,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:31.020000,187.5,37.132059,33.166081,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:32.020000,187.5,37.135388,33.167945,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:33.020000,187.5,37.138714,33.169752,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:34.020000,187.5,37.142037,33.171509,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:35.020000,187.5,37.145361,33.173219,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:36.020000,187.5,37.148678,33.174887,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:37.020000,187.5,37.151991,33.176514,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:38.020000,187.5,37.155305,33.178104,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:39.020000,187.5,37.158608,33.179657,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:40.020000,187.5,37.16191,33.181174,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:41.020000,187.5,37.16521,33.182658,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:42.020000,187.5,37.168499,33.184107,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:43.020000,187.5,37.171787,33.185524,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:44.020000,187.5,37.17507,33.186909,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:45.020000,187.5,37.178346,33.188262,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:46.020000,187.5,37.181622,33.189584,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:47.020000,187.5,37.184888,33.190874,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:48.020000,187.5,37.188152,33.192134,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:49.020000,187.5,37.191413,33.193363,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:50.020000,187.5,37.194667,33.194562,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:51.020000,187.5,37.197921,33.195731,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:52.020000,187.5,37.20117,33.19687,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:53.020000,187.5,37.204417,33.19798,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:54.020000,187.5,37.207664,33.19906,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:55.020000,187.5,37.210907,33.200111,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:56.020000,187.5,37.214151,33.201133,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:57.020000,187.5,37.217394,33.202126,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:58.020000,187.5,37.220635,33.20309,0.8333333333333333,20.0,71.11111111111111
0 days 00:00:59.020000,187.5,37.223876,33.204026,0.8333333333333333,20.0,71.11111111111111
0 days 00:01:00.020000,187.5,37.227116,33.204934,0.8333333333333333,20.0,71.11111111111111
0 days 00:01:01.020000,187.5,37.230356,33.205813,0.8333333333333333,20.0,71.11111111111111
0 days 00:01:02.020000,187.5,37.233596,33.206664,0.8333333333333333,20.0,71.11111111111111
0 days 00:01:03.020000,187.5,37.236836,33.207487,0.8333333333333333,20.0,71.11111111111111
0 days 00:01:04.020000,187.5,37.240076,33.208282,0.8333333333333333,20.0,71.11111111111111
