Time(s),HeartRate(1/min),CoreTemperature(degC),SkinTemperature(degC),intensity,atemp_c,rh_pct
0 days 00:00:01.020000,75.0,37.03181,33.110977,0.75,30.0,53.333333333333336
0 days 00:00:02.020000,76.923077,37.034197,33.112782,0.75,30.0,53.333333333333336
0 days 00:00:03.020000,78.947368,37.037011,33.114848,0.75,30.0,53.333333333333336
0 days 00:00:04.020000,83.333333,37.039991,33.116913,0.75,30.0,53.333333333333336
0 days 00:00:05.020000,85.714286,37.043032,33.118961,0.75,30.0,53.333333333333336
0 days 00:00:06.020000,88.235294,37.046096,33.121004,0.75,30.0,53.333333333333336
0 days 00:00:07.020000,93.75,37.049166,33.123056,0.75,30.0,53.333333333333336
0 days 00:00:08.020000,93.75,37.052239,33.12512,0.75,30.0,53.333333333333336
0 days 00:00:09.020000,96.774194,37.055312,33.127187,0.75,30.0,53.333333333333336
0 days 00:00:10.020000,100.0,37.058383,33.129271,0.75,30.0,53.333333333333336
0 days 00:00:11.020000,103.448276,37.061451,33.131381,0.75,30.0,53.333333333333336
0 days 00:00:12.020000,103.448276,37.064518,33.133509,0.75,30.0,53.333333333333336
0 days 00:00:13.020000,107.142857,37.067583,33.135659,0.75,30.0,53.333333333333336
0 days 00:00:14.020000,107.142857,37.070644,33.137834,0.75,30.0,53.333333333333336
0 days 00:00:15.020000,111.111111,37.073703,33.14004,0.75,30.0,53.333333333333336
0 days 00:00:16.020000,115.384615,37.07676,33.142262,0.75,30.0,53.333333333333336
0 days 00:00:17.020000,115.384615,37.079812,33.144523,0.75,30.0,53.333333333333336
0 days 00:00:18.020000,120.0,37.082863,33.146789,0.75,30.0,53.333333333333336
0 days 00:00:19.020000,120.0,37.085911,33.149086,0.75,30.0,53.333333333333336
0 days 00:00:20.020000,125.0,37.088957,33.151397,0.75,30.0,53.333333333333336
0 days 00:00:21.020000,130.434783,37.091996,33.153741,0.75,30.0,53.333333333333336
0 days 00:00:22.020000,130.434783,37.095032,33.156117,0.75,30.0,53.333333333333336
0 days 00:00:23.020000,136.363636,37.098067,33.158503,0.75,30.0,53.333333333333336
0 days 00:00:24.020000,142.857143,37.101095,33.160914,0.75,30.0,53.333333333333336
0 days 00:00:25.020000,150.0,37.104119,33.163342,0.75,30.0,53.333333333333336
0 days 00:00:26.020000,157.894737,37.107137,33.165796,0.75,30.0,53.333333333333336
0 days 00:00:27.020000,166.666667,37.11015,33.168245,0.75,30.0,53.333333333333336
0 days 00:00:28.020000,176.470588,37.113157,33.170675,0.75,30.0,53.333333333333336
0 days 00:00:29.020000,176.470588,37.116162,33.17311,0.75,30.0,53.333333333333336
0 days 00:00:30.020000,187.5,37.119164,33.175525,0.75,30.0,53.333333333333336
0 days 00:00:31.020000,187.5,37.122161,33.177898,0.75,30.0,53.333333333333336
0 days 00:00:32.020000,187.5,37.125161,33.180207,0.75,30.0,53.333333333333336
0 days 00:00:33.020000,187.5,37.128162,33.182457,0.75,30.0,53.333333333333336
0 days 00:00:34.020000,187.5,37.131157,33.184655,0.75,30.0,53.333333333333336
0 days 00:00:35.020000,187.5,37.134155,33.186805,0.75,30.0,53.333333333333336
0 days 00:00:36.020000,187.5,37.137149,33.188912,0.75,30.0,53.333333333333336
0 days 00:00:37.020000,187.5,37.140136,33.190979,0.75,30.0,53.333333333333336
0 days 00:00:38.020000,187.5,37.143125,33.193008,0.75,30.0,53.333333333333336
0 days 00:00:39.020000,187.5,37.146107,33.195001,0.75,30.0,53.333333333333336
0 days 00:00:40.020000,187.5,37.149084,33.196961,0.75,30.0,53.333333333333336
0 days 00:00:41.020000,187.5,37.152062,33.198887,0.75,30.0,53.333333333333336
0 days 00:00:42.020000,187.5,37.155029,33.200782,0.75,30.0,53.333333333333336
