Time(s),HeartRate(1/min),CoreTemperature(degC),SkinTemperature(degC),atemp_c,rh_pct,intensity
0 days 00:00:01.020000,127.0920033,37.062815900000004,33.140005216666665,22.22222222222222,75.55555555555556,0.25277777777777777
0 days 00:01:01.020000,186.58088233333334,37.1445569,33.2039808,22.22222222222222,75.55555555555556,0.41666666666666663
0 days 00:02:01.020000,187.5,37.24361123333333,33.23306255,22.22222222222222,75.55555555555556,0.4222222222222222
0 days 00:03:01.020000,187.5,37.3812601,33.221238666666665,22.22222222222222,75.55555555555556,0.7430555555555556
0 days 00:04:01.020000,187.5,37.50942835,33.13763305,22.22222222222222,75.55555555555556,0.3333333333333333
0 days 00:05:01.020000,187.31617646666666,37.58746923333333,32.98623443333334,22.22222222222222,75.55555555555556,0.3361111111111111
0 days 00:06:01.020000,187.5,37.68439718333333,32.8047424,22.22222222222222,75.55555555555556,0.5
0 days 00:07:01.020000,187.5,37.79987653333333,32.5862705,22.22222222222222,75.55555555555556,0.5055555555555555
0 days 00:08:01.020000,187.5,37.951877950000004,32.33923838333333,22.22222222222222,75.55555555555556,0.8347222222222221
0 days 00:09:01.020000,187.5,38.14989953333334,32.056196,22.22222222222222,75.55555555555556,0.9166666666666666
