Time(s),HeartRate(1/min),CoreTemperature(degC),SkinTemperature(degC),atemp_c,rh_pct,intensity
0 days 00:00:01.020000,127.41880066666666,37.062607400000005,33.1465607,26.666666666666668,40.0,0.25277777777777777
0 days 00:01:01.020000,186.58088233333334,37.143562849999995,33.223210083333335,26.666666666666668,40.0,0.42361111111111105
0 days 00:02:01.020000,187.5,37.28975641666667,33.276907433333335,26.666666666666668,40.0,0.8291666666666665
0 days 00:03:01.020000,187.5,37.455665016666664,33.258170916666664,26.666666666666668,40.0,0.5791666666666665
0 days 00:04:01.020000,187.5,37.5623168,33.14735783333334,26.666666666666668,40.0,0.33888888888888885
0 days 00:05:01.020000,187.5,37.677590900000006,32.995916900000005,26.666666666666668,40.0,0.6666666666666666
0 days 00:06:01.020000,187.5,37.8310029,32.8017773,26.666666666666668,40.0,0.6597222222222221
0 days 00:07:01.020000,174.95915038333334,37.93463431666667,32.52753225,26.666666666666668,40.0,0.25833333333333336
0 days 00:08:01.020000,187.31617646666666,38.04473531666667,32.2317311,26.666666666666668,40.0,0.7416666666666667
0 days 00:09:01.020000,171.40415386666666,38.154469999999996,31.88951793333333,26.666666666666668,40.0,0.25
