Time(s),HeartRate(1/min),CoreTemperature(degC),SkinTemperature(degC),atemp_c,rh_pct,intensity
0 days 00:00:01.020000,154.3556758,37.13939173333333,33.17732436666667,28.88888888888889,40.0,0.9180555555555555
0 days 00:01:01.020000,187.5,37.3638405,33.25793036666667,28.88888888888889,40.0,0.9875
0 days 00:02:01.020000,160.3403424,37.509591183333335,33.210138,28.88888888888889,40.0,0.2569444444444444
0 days 00:03:01.020000,186.76470586666667,37.6150054,33.096018783333335,28.88888888888889,40.0,0.6625
0 days 00:04:01.020000,187.5,37.73994355,32.93035316666666,28.88888888888889,40.0,0.4208333333333333
0 days 00:05:01.020000,187.5,37.863621816666665,32.71183116666666,28.88888888888889,40.0,0.6652777777777777
0 days 00:06:01.020000,187.5,38.00571266666667,32.4482494,28.88888888888889,40.0,0.5833333333333333
0 days 00:07:01.020000,187.5,38.13579825,32.1269608,28.88888888888889,40.0,0.586111111111111
0 days 00:08:01.020000,187.5,38.282756183333326,31.7707899,28.88888888888889,40.0,0.7513888888888889
0 days 00:09:01.020000,187.5,38.45618256666667,31.382154099999997,28.88888888888889,40.0,0.8333333333333333
