Time(s),HeartRate(1/min),CoreTemperature(degC),SkinTemperature(degC),intensity,atemp_c,rh_pct
0 days 00:00:01.020000,75.0,37.031442,33.110848,0.5,27.77777777777778,75.55555555555556
0 days 00:00:02.020000,75.0,37.033074,33.112247,0.5,27.77777777777778,75.55555555555556
0 days 00:00:03.020000,81.081081,37.034985,33.113881,0.5,27.77777777777778,75.55555555555556
0 days 00:00:04.020000,83.333333,37.037005,33.115526,0.5,27.77777777777778,75.55555555555556
0 days 00:00:05.020000,85.714286,37.039066,33.117154,0.5,27.77777777777778,75.55555555555556
0 days 00:00:06.020000,88.235294,37.041143,33.118777,0.5,27.77777777777778,75.55555555555556
0 days 00:00:07.020000,90.909091,37.043224,33.120402,0.5,27.77777777777778,75.55555555555556
0 days 00:00:08.020000,93.75,37.045309,33.122022,0.5,27.77777777777778,75.55555555555556
0 days 00:00:09.020000,96.774194,37.047392,33.123659,0.5,27.77777777777778,75.55555555555556
0 days 00:00:10.020000,100.0,37.049474,33.125307,0.5,27.77777777777778,75.55555555555556
0 days 00:00:11.020000,103.448276,37.051554,33.126971,0.5,27.77777777777778,75.55555555555556
0 days 00:00:12.020000,103.448276,37.053634,33.128644,0.5,27.77777777777778,75.55555555555556
0 days 00:00:13.020000,107.142857,37.055712,33.130326,0.5,27.77777777777778,75.55555555555556
0 days 00:00:14.020000,107.142857,37.057789,33.132025,0.5,27.77777777777778,75.55555555555556
0 days 00:00:15.020000,111.111111,37.059864,33.133741,0.5,27.77777777777778,75.55555555555556
0 days 00:00:16.020000,111.111111,37.061938,33.135457,0.5,27.77777777777778,75.55555555555556
0 days 00:00:17.020000,115.384615,37.064011,33.137187,0.5,27.77777777777778,75.55555555555556
0 days 00:00:18.020000,115.384615,37.066082,33.138937,0.5,27.77777777777778,75.55555555555556
0 days 00:00:19.020000,120.0,37.068152,33.140692,0.5,27.77777777777778,75.55555555555556
0 days 00:00:20.020000,120.0,37.070221,33.142465,0.5,27.77777777777778,75.55555555555556
0 days 00:00:21.020000,125.0,37.072289,33.144219,0.5,27.77777777777778,75.55555555555556
0 days 00:00:22.020000,125.0,37.074355,33.146001,0.5,27.77777777777778,75.55555555555556
0 days 00:00:23.020000,130.434783,37.076419,33.147791,0.5,27.77777777777778,75.55555555555556
0 days 00:00:24.020000,130.434783,37.078481,33.149602,0.5,27.77777777777778,75.55555555555556
0 days 00:00:25.020000,136.363636,37.080541,33.151405,0.5,27.77777777777778,75.55555555555556
0 days 00:00:26.020000,136.363636,37.082599,33.153232,0.5,27.77777777777778,75.55555555555556
0 days 00:00:27.020000,142.857143,37.084655,33.155085,0.5,27.77777777777778,75.55555555555556
0 days 00:00:28.020000,150.0,37.086705,33.156946,0.5,27.77777777777778,75.55555555555556
0 days 00:00:29.020000,157.894737,37.088754,33.15883,0.5,27.77777777777778,75.55555555555556
0 days 00:00:30.020000,166.666667,37.090799,33.160741,0.5,27.77777777777778,75.55555555555556
0 days 00:00:31.020000,166.666667,37.092841,33.162657,0.5,27.77777777777778,75.55555555555556
0 days 00:00:32.020000,176.470588,37.09488,33.16458,0.5,27.77777777777778,75.55555555555556
0 days 00:00:33.020000,187.5,37.096917,33.166523,0.5,27.77777777777778,75.55555555555556
0 days 00:00:34.020000,187.5,37.09895,33.168475,0.5,27.77777777777778,75.55555555555556
0 days 00:00:35.020000,187.5,37.100981,33.170407,0.5,27.77777777777778,75.55555555555556
0 days 00:00:36.020000,187.5,37.103015,33.172296,0.5,27.77777777777778,75.55555555555556
0 days 00:00:37.020000,187.5,37.105049,33.174142,0.5,27.77777777777778,75.55555555555556
0 days 00:00:38.020000,187.5,37.107079,33.175949,0.5,27.77777777777778,75.55555555555556
0 days 00:00:39.020000,187.5,37.109111,33.177721,0.5,27.77777777777778,75.55555555555556
0 days 00:00:40.020000,187.5,37.111142,33.179461,0.5,27.77777777777778,75.55555555555556
0 days 00:00:41.020000,187.5,37.113167,33.181171,0.5,27.77777777777778,75.55555555555556
0 days 00:00:42.020000,187.5,37.115194,33.182853,0.5,27.77777777777778,75.55555555555556
0 days 00:00:43.020000,187.5,37.117217,33.184508,0.5,27.77777777777778,75.55555555555556
0 days 00:00:44.020000,187.5,37.119236,33.186138,0.5,27.77777777777778,75.55555555555556
0 days 00:00:45.020000,187.5,37.121255,33.187743,0.5,27.77777777777778,75.55555555555556
0 days 00:00:46.020000,187.5,37.123269,33.189326,0.5,27.77777777777778,75.55555555555556
0 days 00:00:47.020000,187.5,37.125279,33.190885,0.5,27.77777777777778,75.55555555555556
0 days 00:00:48.020000,187.5,37.12729,33.192422,0.5,27.77777777777778,75.55555555555556
0 days 00:00:49.020000,187.5,37.129293,33.193938,0.5,27.77777777777778,75.55555555555556
0 days 00:00:50.020000,187.5,37.131295,33.195432,0.5,27.77777777777778,75.55555555555556
0 days 00:00:51.020000,187.5,37.133296,33.196905,0.5,27.77777777777778,75.55555555555556
0 days 00:00:52.020000,187.5,37.135289,33.198358,0.5,27.77777777777778,75.55555555555556
0 days 00:00:53.020000,187.5,37.137283,33.19979,0.5,27.77777777777778,75.55555555555556
0 days 00:00:54.020000,187.5,37.139273,33.201202,0.5,27.77777777777778,75.55555555555556
